Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
David Robert Bates,29,2026-05-08,Standard Liège,Oud-Heverlee Leuven,7.4,90,,,0.0,0,0,0.0,0.0,42,49,0,0,1,0,4,63
David Robert Bates,29,2026-05-03,Royal Antwerp FC,Standard Liège,9.4,90,,,0.0,1,0,1.0,0.0,30,35,0,0,1,0,3,63
David Robert Bates,29,2026-04-25,KRC Genk,Standard Liège,6.2,83,,,0.0,0,0,0.0,0.0,29,37,0,0,1,0,5,50
David Robert Bates,29,2026-04-21,Standard Liège,Royal Antwerp FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
David Robert Bates,29,2026-04-18,RC Sporting Charleroi,Standard Liège,6.3,90,,,0.0,0,0,0.0,0.0,49,55,0,0,2,0,1,69
David Robert Bates,29,2026-04-11,Standard Liège,KVC Westerlo,6.4,90,,,0.0,0,0,0.0,0.0,40,49,0,0,2,0,3,65
David Robert Bates,29,2026-04-04,Oud-Heverlee Leuven,Standard Liège,6.7,90,,,0.0,0,0,0.01,0.01,29,38,0,0,1,0,2,54
David Robert Bates,29,2026-03-22,Standard Liège,KVC Westerlo,7.1,90,,,0.0,0,0,0.0,0.0,30,34,0,0,1,0,1,47
David Robert Bates,29,2026-03-15,Royal Antwerp FC,Standard Liège,6.7,86,,,0.0,0,0,0.22,0.01,43,52,0,0,1,0,7,62
David Robert Bates,29,2026-03-08,SV Zulte Waregem,Standard Liège,7.1,90,,,0.0,0,0,0.0,0.0,65,74,0,0,0,0,3,93
David Robert Bates,29,2026-02-27,Standard Liège,RAAL La Louvière,6.4,59,,,0.0,0,0,0.3,0.0,30,40,0,0,2,0,5,54
David Robert Bates,29,2026-02-22,KRC Genk,Standard Liège,7.2,90,,,0.0,0,0,0.1,0.0,17,22,1,0,3,0,1,43
David Robert Bates,29,2026-02-14,Standard Liège,Royale Union Saint-Gilloise,6.9,45,,,0.0,0,0,0.0,0.0,6,11,0,0,0,0,2,24
David Robert Bates,29,2026-02-08,Club Brugge KV,Standard Liège,6.0,67,,,0.0,0,0,0.0,0.01,27,30,0,0,0,0,3,42
David Robert Bates,29,2026-02-01,Standard Liège,RSC Anderlecht,7.0,45,,,0.0,0,0,0.0,0.28,5,8,0,0,0,0,0,17
