Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Madallah Al-Olayan,31,2025-12-30,Al-Ettifaq,Al-Nassr,6.7,73,,,0.0,0,0,0.0,0.01,16,22,0,0,1,0,3,39
Madallah Al-Olayan,31,2026-01-02,Al-Ettifaq,Al-Okhdood,7.6,78,,,0.0,0,0,0.0,0.12,18,22,1,0,0,0,0,36
Madallah Al-Olayan,31,2026-01-08,Al-Najma SC,Al-Ettifaq,6.9,62,,,0.0,0,0,0.0,0.25,17,22,0,0,0,0,1,31
Madallah Al-Olayan,31,2026-01-28,Al-Ahli,Al-Ettifaq,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Madallah Al-Olayan,31,2026-02-03,Al-Ettifaq,Al-Taawoun,6.9,8,,,0.0,0,0,0.0,0.0,2,4,0,0,0,0,2,7
Madallah Al-Olayan,31,2026-02-06,Al-Ettifaq,Damac FC,,1,,,0.0,0,0,0.0,0.0,1,3,0,0,0,0,0,5
Madallah Al-Olayan,31,2026-02-13,Al-Hilal,Al-Ettifaq,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Madallah Al-Olayan,31,2026-02-19,Al-Ettifaq,Al-Fateh,7.3,63,,,0.0,1,0,0.14,0.01,16,20,1,0,1,0,3,28
Madallah Al-Olayan,31,2026-02-23,Al-Qadsiah,Al-Ettifaq,6.0,19,,,0.0,0,0,0.0,0.0,3,5,0,0,0,0,0,7
Madallah Al-Olayan,31,2026-04-05,Al-Ettifaq,Al-Qadsiah,6.3,65,,,0.0,0,0,0.0,0.04,24,30,0,0,0,0,4,38
Madallah Al-Olayan,31,2026-04-09,Al-Ettifaq,Al-Riyadh,6.5,90,,,0.0,0,0,0.0,0.01,28,35,0,0,1,0,4,52
Madallah Al-Olayan,31,2026-04-15,Al-Nassr,Al-Ettifaq,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Madallah Al-Olayan,31,2026-04-30,Al-Okhdood,Al-Ettifaq,6.8,90,,,0.0,0,0,0.0,0.0,24,31,0,0,0,0,4,48
Madallah Al-Olayan,31,2026-05-04,Al-Ettifaq,Al-Najma SC,7.1,81,,,0.0,0,0,0.0,0.01,33,37,1,0,0,0,5,52
Madallah Al-Olayan,31,2026-05-09,Al-Khaleej,Al-Ettifaq,6.7,90,,,0.0,0,0,0.0,0.16,22,26,2,0,1,0,3,42
Madallah Al-Olayan,31,2026-05-14,Al-Ettifaq,Al-Ittihad,6.8,80,,,0.0,0,0,0.03,0.0,27,31,0,0,1,0,5,50
