Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Abdullah Radif,23,2025-12-22,Al-Sharjah,Al-Hilal,6.4,17,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,2,4
Abdullah Radif,23,2025-12-26,Al-Hilal,Al-Khaleej,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Abdullah Radif,23,2026-01-06,Saudi Arabia U23,Kyrgyzstan U23,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Abdullah Radif,23,2026-02-28,Al-Fayha,Al-Nassr,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Abdullah Radif,23,2026-03-07,Al-Okhdood,Al-Fayha,6.4,9,,,0.0,0,0,0.04,0.0,2,2,0,0,0,0,0,4
Abdullah Radif,23,2026-03-13,Al-Fayha,Al-Ettifaq,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Abdullah Radif,23,2026-04-04,Neom SC,Al-Fayha,6.4,17,,,0.0,0,0,0.06,0.0,1,1,0,0,0,0,0,3
Abdullah Radif,23,2026-04-08,Al-Fayha,Al-Ahli,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Abdullah Radif,23,2026-04-11,Al-Hazem,Al-Fayha,6.4,45,,,0.0,0,0,0.14,0.02,6,6,1,0,0,0,0,11
Abdullah Radif,23,2026-04-30,Al-Kholood,Al-Fayha,6.3,73,,,0.0,0,0,0.0,0.0,8,15,0,0,1,0,4,29
Abdullah Radif,23,2026-05-04,Al-Fayha,Al-Riyadh,7.0,62,,,0.0,0,0,0.13,0.24,6,10,1,0,0,0,4,25
Abdullah Radif,23,2026-05-09,Al-Fayha,Al-Qadsiah,7.0,71,,,0.0,0,0,0.45,0.12,10,13,3,0,0,0,0,22
Abdullah Radif,23,2026-05-15,Damac FC,Al-Fayha,6.3,90,,,0.0,0,0,0.02,0.02,9,10,0,0,0,0,3,17
