Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Darwin Núñez,26,2026-03-31,Algeria,Uruguay,6.3,21,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,7
Darwin Núñez,26,2026-03-27,England,Uruguay,6.5,11,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,0,6
Darwin Núñez,26,2026-02-16,Al-Hilal,Al-Wahda FC,9.0,90,,,0.0,2,0,0.94,0.31,15,22,2,0,0,0,1,33
Darwin Núñez,26,2026-02-09,Shabab Al-Ahli Dubai,Al-Hilal,6.5,90,,,0.0,0,0,0.0,0.04,16,18,1,0,0,0,2,27
Darwin Núñez,26,2026-02-02,Al-Hilal,Al-Ahli,6.6,76,,,0.0,0,0,0.03,0.01,5,11,0,0,0,0,1,15
Darwin Núñez,26,2026-01-29,Al-Qadsiah,Al-Hilal,6.4,90,,,0.0,0,0,1.11,0.04,14,17,1,0,0,0,3,32
Darwin Núñez,26,2026-01-25,Al-Riyadh,Al-Hilal,6.2,90,,,0.0,0,0,0.24,0.02,19,24,1,0,0,0,1,37
Darwin Núñez,26,2026-01-22,Al-Hilal,Al-Fayha,6.3,79,,,0.0,0,0,0.13,0.04,20,25,1,0,0,0,1,35
Darwin Núñez,26,2026-01-18,Neom SC,Al-Hilal,6.5,89,,,0.0,0,0,0.65,0.38,19,29,1,0,0,0,5,49
Darwin Núñez,26,2026-01-12,Al-Hilal,Al-Nassr,6.5,89,,,0.0,0,0,0.0,0.01,9,10,0,0,0,0,3,23
Darwin Núñez,26,2026-01-08,Al-Hilal,Al-Hazem,7.6,21,,,0.0,1,0,1.01,0.05,3,3,1,0,0,0,0,9
Darwin Núñez,26,2026-01-04,Damac FC,Al-Hilal,7.6,82,,,0.0,1,0,1.22,0.4,17,22,0,0,0,0,1,33
Darwin Núñez,26,2025-12-31,Al-Kholood,Al-Hilal,6.7,90,,,0.0,0,0,0.83,0.49,21,24,2,0,0,0,3,37
Darwin Núñez,26,2025-12-26,Al-Hilal,Al-Khaleej,6.9,23,,,0.0,0,0,0.53,0.01,3,4,0,0,0,0,1,9
Darwin Núñez,26,2025-12-22,Al-Sharjah,Al-Hilal,6.8,89,,,0.0,0,0,0.29,0.02,9,17,2,0,0,0,5,38
