Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Stephane Keller,24,2026-04-17,Machida Zelvia,Al-Ittihad,6.4,90,,,0.0,0,0,0.18,0.03,60,67,0,0,0,0,3,73
Stephane Keller,24,2026-04-14,Al-Ittihad,Al-Wahda FC,7.7,120,,,0.0,0,0,0.02,0.0,62,66,0,0,0,0,4,87
Stephane Keller,24,2026-03-31,Cameroon,China,7.0,90,,,0.0,0,0,0.0,0.0,70,76,0,0,1,0,4,86
Stephane Keller,24,2026-03-27,Australia,Cameroon,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Stephane Keller,24,2026-02-17,Al-Sadd,Al-Ittihad,7.3,90,,,0.0,1,0,0.77,0.0,47,56,0,0,0,0,5,68
Stephane Keller,24,2026-02-10,Al-Ittihad,Al-Gharafa,6.9,27,,,0.0,0,0,0.0,0.0,11,11,0,0,0,0,1,15
Stephane Keller,24,2026-02-01,AEL Limassol,Aris Limassol,6.8,90,,,0.0,0,0,0.02,0.0,36,47,0,0,1,0,12,64
Stephane Keller,24,2026-01-25,Anorthosis Famagusta,AEL Limassol,6.6,90,,,0.0,0,0,0.0,0.0,37,45,0,0,4,0,14,60
Stephane Keller,24,2026-01-17,Akritas Chlorakas,AEL Limassol,6.8,90,,,0.0,0,0,0.0,0.0,25,32,0,0,1,0,9,51
Stephane Keller,24,2026-01-09,AEL Limassol,Omonia Nicosia,6.7,90,,,0.0,0,0,0.0,0.0,60,64,0,0,3,0,11,83
Stephane Keller,24,2026-01-03,Ethnikos Achnas,AEL Limassol,7.0,90,,,0.0,0,0,0.08,0.0,53,62,0,0,0,0,13,87
Stephane Keller,24,2025-12-14,Olympiakos Nicosia,AEL Limassol,6.7,25,,,0.0,0,0,0.01,0.0,8,10,0,0,0,0,2,15
Stephane Keller,24,2025-11-30,AEL Limassol,Apollon Limassol,6.7,90,,,0.0,0,0,0.0,0.0,27,32,0,0,1,0,8,42
