Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Majed Omar Kanabah,33,2026-05-09,Al-Khaleej,Al-Ettifaq,7.4,90,,,0.0,0,0,0.0,0.26,30,36,1,0,1,0,7,49
Majed Omar Kanabah,33,2026-05-05,Al-Khaleej,Al-Hilal,6.8,85,,,0.0,0,0,0.15,0.05,19,19,0,0,2,0,2,30
Majed Omar Kanabah,33,2026-05-02,Damac FC,Al-Khaleej,6.9,90,,,0.0,0,0,0.0,0.01,22,30,0,0,1,0,4,42
Majed Omar Kanabah,33,2026-04-28,Al-Khaleej,Al-Najma SC,6.6,90,,,0.0,0,0,0.13,0.02,25,32,0,0,2,0,5,41
Majed Omar Kanabah,33,2026-04-24,Al-Fateh,Al-Khaleej,6.8,69,,,0.0,0,0,0.0,0.02,18,21,0,0,1,0,2,33
Majed Omar Kanabah,33,2026-04-03,Al-Kholood,Al-Khaleej,6.6,45,,,0.0,0,0,0.01,0.01,14,15,0,0,0,0,1,21
Majed Omar Kanabah,33,2026-03-06,Al-Khaleej,Al-Hazem,6.2,71,,,0.0,0,0,0.01,0.0,15,20,0,0,0,0,2,27
Majed Omar Kanabah,33,2026-02-27,Al-Ittihad,Al-Khaleej,6.7,83,,,0.0,0,0,0.01,0.09,36,40,2,0,1,0,4,58
Majed Omar Kanabah,33,2026-02-24,Al-Khaleej,Al-Kholood,6.8,67,,,0.0,0,0,0.0,0.01,22,24,0,0,1,0,2,33
Majed Omar Kanabah,33,2026-02-21,Al-Khaleej,Neom SC,6.8,90,,,0.0,0,0,0.0,0.01,36,39,0,0,3,0,6,52
Majed Omar Kanabah,33,2026-02-14,Al-Riyadh,Al-Khaleej,6.6,71,,,0.0,0,0,0.0,0.02,19,28,1,0,2,0,6,39
Majed Omar Kanabah,33,2026-02-07,Al-Taawoun,Al-Khaleej,6.8,68,,,0.0,0,0,0.04,0.0,15,15,0,0,0,0,7,22
Majed Omar Kanabah,33,2026-02-03,Al-Khaleej,Al-Qadsiah,7.1,77,,,0.0,0,0,0.0,0.25,30,32,2,0,0,0,5,43
Majed Omar Kanabah,33,2026-01-28,Al-Fayha,Al-Khaleej,6.5,79,,,0.0,0,0,0.05,0.04,42,47,1,0,0,0,7,68
Majed Omar Kanabah,33,2026-01-24,Al-Khaleej,Al-Shabab,7.1,82,,,0.0,0,0,0.0,0.06,28,33,0,0,2,0,1,49
