Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Paolo Fernandes,27,2026-05-09,Al-Khaleej,Al-Ettifaq,6.3,72,,,0.0,0,0,0.07,0.07,24,30,0,0,0,0,3,51
Paolo Fernandes,27,2026-05-05,Al-Khaleej,Al-Hilal,6.7,76,,,0.0,0,0,0.04,0.01,9,16,0,0,0,0,3,26
Paolo Fernandes,27,2026-05-02,Damac FC,Al-Khaleej,7.2,76,,,0.0,0,0,0.0,0.32,23,25,2,0,1,0,4,40
Paolo Fernandes,27,2026-04-28,Al-Khaleej,Al-Najma SC,8.8,69,,,0.0,1,0,0.2,0.62,22,25,3,0,0,0,5,50
Paolo Fernandes,27,2026-04-24,Al-Fateh,Al-Khaleej,7.2,90,,,0.0,0,0,0.16,0.11,23,28,1,0,0,0,7,62
Paolo Fernandes,27,2026-04-03,Al-Kholood,Al-Khaleej,6.3,60,,,0.0,0,0,0.17,0.05,21,25,2,0,0,0,3,45
Paolo Fernandes,27,2026-03-14,Al-Khaleej,Al-Nassr,6.5,75,,,0.0,0,0,0.01,0.02,12,15,0,0,0,0,3,31
Paolo Fernandes,27,2026-03-06,Al-Khaleej,Al-Hazem,7.0,48,,,0.0,0,0,0.04,0.02,11,17,0,0,0,0,2,36
Paolo Fernandes,27,2026-02-27,Al-Ittihad,Al-Khaleej,6.6,68,,,0.0,0,0,0.04,0.06,11,11,1,0,0,0,3,32
Paolo Fernandes,27,2026-02-24,Al-Khaleej,Al-Kholood,7.1,90,,,0.0,1,0,0.86,0.03,21,29,0,0,0,0,1,52
Paolo Fernandes,27,2026-02-21,Al-Khaleej,Neom SC,7.2,67,,,0.0,0,0,0.03,0.01,14,15,0,0,0,0,3,30
Paolo Fernandes,27,2026-02-14,Al-Riyadh,Al-Khaleej,6.2,45,,,0.0,0,0,0.32,0.01,8,13,0,0,0,0,1,23
Paolo Fernandes,27,2026-02-07,Al-Taawoun,Al-Khaleej,6.2,68,,,0.0,0,0,0.0,0.01,13,16,1,0,1,0,4,30
Paolo Fernandes,27,2026-02-03,Al-Khaleej,Al-Qadsiah,7.0,90,,,0.0,0,0,0.35,0.09,20,26,1,0,1,0,3,57
Paolo Fernandes,27,2026-01-28,Al-Fayha,Al-Khaleej,5.8,90,,,0.0,0,0,0.29,0.1,37,45,1,0,1,0,3,76
