Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Abdullah Al-Hawsawi,30,2026-01-25,Al-Najma SC,Al-Qadsiah,5.8,90,,,0.0,0,0,0.0,0.01,30,38,0,0,1,0,3,53
Abdullah Al-Hawsawi,30,2026-01-28,Al-Najma SC,Al-Riyadh,6.5,90,,,0.0,0,0,0.02,0.01,31,33,0,0,2,0,3,56
Abdullah Al-Hawsawi,30,2026-02-01,Al-Ittihad,Al-Najma SC,6.2,90,,,0.0,0,0,0.0,0.01,26,28,0,0,0,0,1,48
Abdullah Al-Hawsawi,30,2026-02-14,Al-Najma SC,Al-Kholood,6.9,90,,,0.0,0,0,0.0,0.0,21,26,0,0,0,0,6,53
Abdullah Al-Hawsawi,30,2026-02-19,Al-Ahli,Al-Najma SC,6.0,89,,,0.0,0,0,0.0,0.0,12,21,0,0,0,0,3,39
Abdullah Al-Hawsawi,30,2026-02-25,Al-Najma SC,Al-Nassr,4.7,90,,,0.0,0,0,0.0,0.0,20,23,0,0,0,0,5,40
Abdullah Al-Hawsawi,30,2026-02-28,Al-Najma SC,Al-Okhdood,6.5,67,,,0.0,0,0,0.0,0.01,17,20,1,0,0,0,1,33
Abdullah Al-Hawsawi,30,2026-03-06,Al-Hilal,Al-Najma SC,6.9,73,,,0.0,0,0,0.0,0.0,14,19,0,0,1,0,5,31
Abdullah Al-Hawsawi,30,2026-03-12,Al-Najma SC,Damac FC,5.9,90,,,0.0,0,0,0.0,0.0,23,26,0,0,0,0,5,35
Abdullah Al-Hawsawi,30,2026-04-03,Al-Nassr,Al-Najma SC,5.6,76,,,0.0,0,0,0.0,0.0,10,13,0,0,1,0,4,24
Abdullah Al-Hawsawi,30,2026-04-11,Al-Najma SC,Neom SC,7.1,90,,,0.0,0,0,0.0,0.02,11,18,0,0,0,0,6,51
Abdullah Al-Hawsawi,30,2026-04-23,Al-Najma SC,Al-Taawoun,6.3,90,,,0.0,0,0,0.0,0.01,17,23,0,0,0,0,4,43
Abdullah Al-Hawsawi,30,2026-04-28,Al-Khaleej,Al-Najma SC,6.4,71,,,0.0,0,0,0.0,0.01,18,25,0,0,0,0,2,39
Abdullah Al-Hawsawi,30,2026-05-04,Al-Ettifaq,Al-Najma SC,7.2,20,,,0.0,0,0,0.0,0.0,7,8,0,0,0,0,0,18
Abdullah Al-Hawsawi,30,2026-05-09,Al-Najma SC,Al-Hazem,6.7,10,,,0.0,0,0,0.0,0.0,4,4,0,0,0,0,1,6
Abdullah Al-Hawsawi,30,2026-05-14,Al-Fateh,Al-Najma SC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
