Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Cristiano Ronaldo,41,2026-05-12,Al-Nassr,Al-Hilal,6.4,83,,,0.0,0,0,0.35,0.13,5,9,1,0,0,0,0,20
Cristiano Ronaldo,41,2026-05-07,Al-Shabab,Al-Nassr,7.1,89,,,0.0,1,0,0.82,0.0,14,17,0,0,0,0,1,24
Cristiano Ronaldo,41,2026-05-03,Al-Qadsiah,Al-Nassr,6.5,90,,,0.0,0,0,0.09,0.01,8,11,0,0,1,0,1,21
Cristiano Ronaldo,41,2026-04-29,Al-Nassr,Al-Ahli,7.7,89,,,0.0,1,0,0.28,0.08,9,10,2,0,0,0,0,19
Cristiano Ronaldo,41,2026-04-22,Al-Nassr,Al-Ahli Doha,6.2,78,,,0.0,0,0,0.0,0.0,21,24,1,0,0,0,2,30
Cristiano Ronaldo,41,2026-04-19,Al Wasl,Al-Nassr,7.1,67,,,0.0,1,0,0.0,0.0,12,14,0,0,0,0,0,24
Cristiano Ronaldo,41,2026-04-15,Al-Nassr,Al-Ettifaq,6.9,89,,,0.0,0,0,0.69,0.05,15,15,0,0,0,0,2,28
Cristiano Ronaldo,41,2026-04-11,Al-Okhdood,Al-Nassr,7.3,82,,,0.0,1,0,1.27,0.02,19,22,0,0,0,0,0,37
Cristiano Ronaldo,41,2026-04-03,Al-Nassr,Al-Najma SC,7.8,83,,,0.0,2,0,1.68,0.02,14,15,1,0,0,0,0,23
Cristiano Ronaldo,41,2026-02-28,Al-Fayha,Al-Nassr,6.1,81,,,0.0,0,0,1.07,0.13,20,21,0,0,0,0,0,34
Cristiano Ronaldo,41,2026-02-25,Al-Najma SC,Al-Nassr,7.8,57,,,0.0,1,0,1.28,0.24,14,19,1,0,0,0,0,28
Cristiano Ronaldo,41,2026-02-21,Al-Nassr,Al-Hazem,9.3,90,,,0.0,2,0,1.48,0.03,17,22,0,0,0,0,2,37
Cristiano Ronaldo,41,2026-02-14,Al-Fateh,Al-Nassr,7.7,89,,,0.0,1,0,0.24,0.02,18,18,0,0,0,0,1,29
Cristiano Ronaldo,41,2026-01-30,Al-Kholood,Al-Nassr,7.7,79,,,0.0,1,0,1.14,0.08,15,17,1,0,0,0,0,24
Cristiano Ronaldo,41,2026-01-26,Al-Nassr,Al-Taawoun,6.0,90,,,0.0,0,0,0.76,0.02,16,16,1,0,0,0,0,28
