Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Tozé,33,2026-01-25,Al-Riyadh,Al-Hilal,7.4,90,,,0.0,0,0,0.02,0.31,27,30,2,0,1,0,5,45
Tozé,33,2026-01-28,Al-Najma SC,Al-Riyadh,6.9,90,,,0.0,0,0,0.02,0.38,15,17,2,0,0,0,0,33
Tozé,33,2026-02-02,Al-Riyadh,Al-Nassr,6.1,90,,,0.0,0,0,0.0,0.24,21,31,2,0,0,0,4,50
Tozé,33,2026-02-14,Al-Riyadh,Al-Khaleej,6.4,90,,,0.0,0,0,0.85,0.24,27,35,2,0,0,0,2,54
Tozé,33,2026-02-19,Al-Kholood,Al-Riyadh,7.0,76,,,0.0,0,0,0.0,0.27,17,20,3,0,1,0,3,34
Tozé,33,2026-02-23,Al-Shabab,Al-Riyadh,7.3,79,,,0.0,0,0,0.13,0.49,30,33,4,0,0,0,1,53
Tozé,33,2026-02-26,Al-Riyadh,Al-Ahli,6.5,90,,,0.0,0,0,0.1,0.02,23,29,0,0,0,0,4,41
Tozé,33,2026-03-05,Damac FC,Al-Riyadh,6.7,90,,,0.0,0,0,0.18,0.06,52,61,4,0,0,0,4,86
Tozé,33,2026-03-13,Al-Riyadh,Al-Ittihad,7.3,90,,,0.0,1,0,0.95,0.1,25,26,1,0,0,0,3,47
Tozé,33,2026-04-05,Al-Riyadh,Al-Shabab,7.5,90,,,0.0,1,0,0.81,0.21,36,43,1,0,0,0,5,66
Tozé,33,2026-04-09,Al-Ettifaq,Al-Riyadh,7.0,90,,,0.0,0,0,0.18,0.4,26,31,3,0,0,0,2,52
Tozé,33,2026-04-24,Al-Hazem,Al-Riyadh,6.9,90,,,0.0,1,0,1.08,0.02,30,35,0,0,0,0,3,51
Tozé,33,2026-04-29,Al-Riyadh,Al-Qadsiah,6.8,90,,,0.0,0,0,0.47,0.01,25,29,0,0,1,0,5,46
Tozé,33,2026-05-04,Al-Fayha,Al-Riyadh,7.1,90,,,0.0,0,0,0.12,0.54,43,47,4,0,1,0,3,71
Tozé,33,2026-05-10,Al-Riyadh,Al-Fateh,7.1,90,,,0.0,0,0,0.17,0.17,20,26,2,0,1,0,4,51
Tozé,33,2026-05-15,Al-Taawoun,Al-Riyadh,6.8,90,,,0.0,0,0,0.0,0.2,22,24,4,0,0,0,3,35
