Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Mohammed Al-Dawsari,26,2026-05-09,Abha,Al Adalah,9.0,90,,,0.0,0,0,0.0,0.0,14,25,0,0,0,0,10,39
Mohammed Al-Dawsari,26,2026-05-02,Al Adalah,Al Anwar,7.6,90,,,0.0,0,0,0.0,0.0,10,21,0,0,0,0,7,34
Mohammed Al-Dawsari,26,2026-04-27,Al Jabalin,Al Adalah,7.7,90,,,0.0,0,0,0.0,0.0,4,18,0,0,0,0,9,38
Mohammed Al-Dawsari,26,2026-04-20,Al Adalah,Al Jandal,6.8,90,,,0.0,0,0,0.0,0.0,10,19,0,0,0,0,5,22
Mohammed Al-Dawsari,26,2026-04-14,Al Wehda,Al Adalah,6.4,90,,,0.0,0,0,0.0,0.0,17,24,0,0,0,0,7,37
Mohammed Al-Dawsari,26,2026-04-09,Al Adalah,Al Batin,8.1,90,,,0.0,0,0,0.0,0.0,18,26,0,0,0,0,8,44
Mohammed Al-Dawsari,26,2026-04-04,Al Ula,Al Adalah,5.9,90,,,0.0,0,0,0.0,0.0,12,30,0,0,0,0,12,41
Mohammed Al-Dawsari,26,2026-03-07,Al Bukayriyah,Al Adalah,7.1,90,,,0.0,0,0,0.0,0.0,16,31,0,0,0,0,5,40
Mohammed Al-Dawsari,26,2026-03-02,Al Adalah,Al Faisaly,5.8,45,,,0.0,0,0,0.0,0.0,7,14,0,0,0,0,5,22
Mohammed Al-Dawsari,26,2026-02-25,Al Zulfi,Al Adalah,6.1,90,,,0.0,0,0,0.0,0.0,25,29,0,0,0,0,8,37
Mohammed Al-Dawsari,26,2026-02-19,Al Adalah,Jeddah,7.1,90,,,0.0,0,0,0.0,0.0,25,32,0,0,0,0,9,44
Mohammed Al-Dawsari,26,2026-02-14,Al Orobah,Al Adalah,5.3,90,,,0.0,0,0,0.0,0.0,6,20,0,0,0,0,10,34
Mohammed Al-Dawsari,26,2026-02-08,Al Arabi (SA),Al Adalah,6.1,90,,,0.0,0,0,0.0,0.0,17,24,0,0,0,0,6,31
Mohammed Al-Dawsari,26,2026-02-03,Al Adalah,Al Tai,6.2,90,,,0.0,0,0,0.0,0.0,10,19,0,0,0,0,9,32
Mohammed Al-Dawsari,26,2026-01-28,Al Adalah,Al Diriyah,7.8,90,,,0.0,0,0,0.0,0.0,24,42,0,0,0,0,14,57
