Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Arne Engels,22,2026-05-16,Celtic,Heart of Midlothian,7.6,90,,,0.0,1,0,0.89,0.2,29,35,2,0,0,0,2,53
Arne Engels,22,2026-05-13,Motherwell,Celtic,6.2,90,,,0.0,0,0,0.22,0.07,24,34,1,0,1,0,5,51
Arne Engels,22,2026-05-10,Celtic,Rangers,7.3,90,,,0.0,0,0,0.03,0.37,21,30,1,0,1,0,4,47
Arne Engels,22,2026-05-03,Hibernian,Celtic,6.7,90,,,0.0,0,0,0.05,0.03,30,40,1,0,0,0,1,58
Arne Engels,22,2026-04-25,Celtic,Falkirk FC,6.8,90,,,0.0,0,0,0.02,0.04,27,36,0,0,2,0,3,54
Arne Engels,22,2026-04-11,Celtic,St. Mirren,6.7,28,,,0.0,0,0,0.0,0.0,9,11,0,0,0,0,1,16
Arne Engels,22,2026-02-11,Celtic,Livingston,6.7,32,,,0.0,0,0,0.01,0.1,9,11,2,0,0,0,1,17
Arne Engels,22,2026-02-01,Celtic,Falkirk FC,6.8,71,,,0.0,0,0,0.0,0.13,21,28,1,0,1,0,3,42
Arne Engels,22,2026-01-29,Celtic,FC Utrecht,7.5,78,,,0.0,1,0,0.79,0.21,30,36,1,0,1,0,7,55
Arne Engels,22,2026-01-25,Heart of Midlothian,Celtic,6.0,90,,,0.0,0,0,0.0,0.06,23,37,1,0,0,0,2,46
Arne Engels,22,2026-01-22,Bologna,Celtic,7.0,88,,,0.0,0,0,0.04,0.13,16,26,3,0,1,0,2,44
Arne Engels,22,2026-01-14,Falkirk FC,Celtic,7.6,79,,,0.0,0,0,0.05,0.4,30,34,2,0,1,0,0,52
Arne Engels,22,2026-01-10,Celtic,Dundee United,6.9,90,,,0.0,1,0,0.34,0.16,60,68,2,0,0,0,4,93
Arne Engels,22,2026-01-03,Celtic,Rangers,6.7,90,,,0.0,0,0,0.06,0.29,47,54,2,0,2,0,4,78
