Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Clark Robertson,32,2026-05-12,Kilmarnock,Dundee FC,7.3,67,,,0.0,0,0,0.15,0.0,36,38,0,0,0,0,1,53
Clark Robertson,32,2026-01-11,Dundee FC,Heart of Midlothian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Clark Robertson,32,2026-01-03,Dundee United,Dundee FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Clark Robertson,32,2025-12-03,Celtic,Dundee FC,7.0,40,,,0.0,0,0,0.0,0.01,35,38,0,0,1,0,2,41
Clark Robertson,32,2025-11-29,Dundee FC,St. Mirren,5.8,90,,,0.0,0,0,0.0,0.0,17,31,0,0,1,0,0,45
Clark Robertson,32,2025-11-22,Hibernian,Dundee FC,6.9,90,,,0.0,0,0,0.22,0.0,55,59,0,0,1,0,2,73
Clark Robertson,32,2025-11-01,Heart of Midlothian,Dundee FC,5.8,90,,,0.0,0,0,0.02,0.0,18,31,0,0,1,0,4,40
Clark Robertson,32,2025-10-25,Falkirk FC,Dundee FC,6.3,90,,,0.0,1,0,0.17,0.0,14,17,0,0,0,0,1,25
Clark Robertson,32,2025-10-19,Dundee FC,Celtic,8.7,90,,,0.0,1,0,0.27,0.15,6,9,1,0,1,0,1,26
Clark Robertson,32,2025-10-05,Aberdeen,Dundee FC,6.5,90,,,0.0,0,0,0.0,0.01,38,47,0,0,1,0,4,58
Clark Robertson,32,2025-09-27,St. Mirren,Dundee FC,6.6,90,,,0.0,0,0,0.0,0.01,48,52,0,0,0,0,2,60
Clark Robertson,32,2025-09-20,Dundee FC,Livingston,5.1,90,,,0.0,0,0,0.0,0.01,33,41,0,0,1,0,4,50
Clark Robertson,32,2025-09-13,Dundee FC,Motherwell,7.4,90,,,0.0,0,0,0.0,0.0,49,55,0,0,0,0,0,66
Clark Robertson,32,2025-08-31,Dundee FC,Dundee United,6.7,90,,,0.0,0,0,0.0,0.01,58,63,0,0,0,0,2,76
