Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Luca Stephenson,22,2026-04-04,Rangers,Dundee United,7.0,90,,,0.0,0,0,0.0,0.83,20,28,2,0,0,0,2,49
Luca Stephenson,22,2026-03-22,Dundee United,Celtic,7.6,90,,,0.0,0,0,0.0,0.26,8,11,2,0,1,0,4,29
Luca Stephenson,22,2026-03-15,Dundee FC,Dundee United,8.3,83,,,0.0,1,0,0.12,0.43,11,22,3,0,3,0,4,37
Luca Stephenson,22,2026-03-03,Dundee United,St. Mirren,6.6,90,,,0.0,0,0,0.05,0.0,8,18,0,0,0,0,1,35
Luca Stephenson,22,2026-02-28,Motherwell,Dundee United,6.4,90,,,0.0,0,0,0.17,0.05,27,35,1,0,1,0,5,45
Luca Stephenson,22,2026-02-24,Dundee United,Aberdeen,6.5,90,,,0.0,0,0,0.04,0.02,13,20,1,0,0,0,2,29
Luca Stephenson,22,2026-02-21,Dundee United,Kilmarnock,6.2,90,,,0.0,0,0,0.17,0.1,13,24,1,0,0,0,3,42
Luca Stephenson,22,2026-02-14,Falkirk FC,Dundee United,6.3,77,,,0.0,0,0,0.0,0.0,7,11,0,0,0,0,3,16
Luca Stephenson,22,2026-02-04,Hibernian,Dundee United,6.3,90,,,0.0,0,0,0.0,0.02,35,41,0,0,0,0,3,50
Luca Stephenson,22,2026-01-31,Dundee United,Heart of Midlothian,6.7,90,,,0.0,0,0,0.0,0.01,17,26,0,0,1,0,6,45
Luca Stephenson,22,2026-01-10,Celtic,Dundee United,6.5,90,,,0.0,0,0,0.0,0.0,11,14,0,0,0,0,4,23
Luca Stephenson,22,2026-01-03,Dundee United,Dundee FC,6.6,90,,,0.0,0,0,0.34,0.06,14,28,3,0,0,0,9,46
