Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Max Watters,27,2026-05-12,Dundee United,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Max Watters,27,2026-05-09,Aberdeen,Dundee United,6.3,45,,,0.0,0,0,0.41,0.01,9,12,0,0,0,0,2,20
Max Watters,27,2026-05-02,Kilmarnock,Dundee United,6.1,60,,,0.0,0,0,0.09,0.05,10,12,1,0,0,0,1,18
Max Watters,27,2026-04-26,Dundee United,Dundee FC,6.1,69,,,0.0,0,0,0.11,0.01,6,8,2,0,0,0,1,20
Max Watters,27,2026-04-11,Dundee United,Livingston,6.8,62,,,0.0,0,0,0.0,0.08,9,11,2,0,0,0,2,19
Max Watters,27,2026-04-04,Rangers,Dundee United,6.6,81,,,0.0,0,0,0.21,0.23,10,11,1,0,0,0,0,20
Max Watters,27,2026-03-22,Dundee United,Celtic,6.2,89,,,0.0,0,0,0.44,0.06,4,9,0,0,0,0,0,25
Max Watters,27,2026-03-15,Dundee FC,Dundee United,6.0,72,,,0.0,0,0,0.03,0.01,8,9,1,0,0,0,0,15
Max Watters,27,2026-03-03,Dundee United,St. Mirren,6.0,69,,,0.0,0,0,0.07,0.02,6,16,1,0,0,0,3,26
Max Watters,27,2026-02-28,Motherwell,Dundee United,6.4,61,,,0.0,0,0,0.06,0.0,6,9,0,0,1,0,8,22
Max Watters,27,2026-02-24,Dundee United,Aberdeen,6.4,31,,,0.0,0,0,0.0,0.0,3,3,1,0,0,0,0,8
Max Watters,27,2026-02-21,Dundee United,Kilmarnock,6.1,72,,,0.0,0,0,0.0,0.03,11,15,0,0,0,0,2,25
Max Watters,27,2026-02-14,Falkirk FC,Dundee United,6.1,41,,,0.0,0,0,0.0,0.0,2,7,0,0,0,0,0,13
