Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Gary Oliver,30,2026-05-16,Falkirk FC,Rangers,6.5,26,,,0.0,0,0,0.0,0.0,10,12,0,0,0,0,3,14
Gary Oliver,30,2026-05-13,Heart of Midlothian,Falkirk FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2026-03-21,Falkirk FC,St. Mirren,,2,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,1,2
Gary Oliver,30,2026-03-14,Aberdeen,Falkirk FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2025-11-22,Dundee United,Falkirk FC,6.5,9,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,1,4
Gary Oliver,30,2025-11-08,Falkirk FC,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2025-11-01,Falkirk FC,Kilmarnock,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2025-10-29,Celtic,Falkirk FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2025-10-25,Falkirk FC,Dundee FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2025-10-18,Motherwell,Falkirk FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2025-10-05,Falkirk FC,Rangers,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2025-09-27,Heart of Midlothian,Falkirk FC,6.5,45,,,0.0,0,0,0.0,0.06,15,18,1,0,0,0,2,24
Gary Oliver,30,2025-09-23,Falkirk FC,Hibernian,6.4,8,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,3
Gary Oliver,30,2025-09-13,Falkirk FC,St. Mirren,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Gary Oliver,30,2025-08-31,Aberdeen,Falkirk FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
