Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jordi Altena,22,2026-05-16,Celtic,Heart of Midlothian,6.5,47,,,0.0,0,0,0.02,0.01,7,9,0,0,0,0,1,19
Jordi Altena,22,2026-05-13,Heart of Midlothian,Falkirk FC,6.7,23,,,0.0,0,0,0.0,0.0,6,9,0,0,0,0,3,13
Jordi Altena,22,2026-05-09,Motherwell,Heart of Midlothian,6.6,90,,,0.0,0,0,0.1,0.07,17,20,1,0,1,0,3,37
Jordi Altena,22,2026-05-04,Heart of Midlothian,Rangers,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1
Jordi Altena,22,2026-04-26,Hibernian,Heart of Midlothian,6.6,45,,,0.0,0,0,0.0,0.05,18,22,1,0,0,0,1,43
Jordi Altena,22,2026-04-11,Heart of Midlothian,Motherwell,6.6,11,,,0.0,0,0,0.0,0.0,1,4,0,0,0,0,3,4
Jordi Altena,22,2026-04-05,Livingston,Heart of Midlothian,6.6,13,,,0.0,0,0,0.0,0.01,5,6,0,0,0,0,0,6
Jordi Altena,22,2026-03-21,Heart of Midlothian,Dundee FC,6.6,54,,,0.0,0,0,0.05,0.05,23,29,1,0,0,0,9,41
Jordi Altena,22,2026-03-14,Kilmarnock,Heart of Midlothian,6.9,34,,,0.0,0,0,0.0,0.01,13,15,0,0,1,0,1,24
Jordi Altena,22,2026-02-28,Heart of Midlothian,Aberdeen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jordi Altena,22,2026-02-21,Heart of Midlothian,Falkirk FC,6.7,9,,,0.0,0,0,0.0,0.01,5,6,0,0,1,0,1,8
Jordi Altena,22,2026-02-15,Rangers,Heart of Midlothian,5.9,45,,,0.0,0,0,0.0,0.0,14,15,0,0,0,0,0,29
Jordi Altena,22,2026-02-10,Heart of Midlothian,Hibernian,6.9,14,,,0.0,0,0,0.0,0.01,5,5,0,0,1,0,2,7
Jordi Altena,22,2026-02-03,St. Mirren,Heart of Midlothian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jordi Altena,22,2026-01-31,Dundee United,Heart of Midlothian,7.6,73,,,0.0,0,0,0.0,0.26,38,42,2,0,0,0,3,58
