Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Rogers Mato,22,2026-05-04,Heart of Midlothian,Rangers,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rogers Mato,22,2026-04-26,Hibernian,Heart of Midlothian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rogers Mato,22,2026-04-11,Heart of Midlothian,Motherwell,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rogers Mato,22,2026-04-05,Livingston,Heart of Midlothian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rogers Mato,22,2026-03-21,Heart of Midlothian,Dundee FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rogers Mato,22,2026-03-14,Kilmarnock,Heart of Midlothian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rogers Mato,22,2026-02-28,Heart of Midlothian,Aberdeen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rogers Mato,22,2026-02-21,Heart of Midlothian,Falkirk FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Rogers Mato,22,2026-02-15,Rangers,Heart of Midlothian,6.4,8,,,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,4
Rogers Mato,22,2026-02-10,Heart of Midlothian,Hibernian,6.6,8,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1
Rogers Mato,22,2026-01-31,Dundee United,Heart of Midlothian,6.6,8,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,3
Rogers Mato,22,2025-12-30,Uganda,Nigeria,7.5,90,,,0.0,1,0,0.0,0.0,11,16,1,0,0,0,3,36
Rogers Mato,22,2025-12-27,Uganda,Tanzania,6.6,90,,,0.0,0,0,0.0,0.0,14,18,0,0,0,0,1,48
Rogers Mato,22,2025-12-23,Tunisia,Uganda,7.0,84,,,0.0,0,0,0.0,0.0,13,19,1,0,0,0,3,44
