Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Munashe Garananga,25,2026-05-09,Falkirk FC,Hibernian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Munashe Garananga,25,2026-03-14,Hibernian,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Munashe Garananga,25,2026-02-28,Dundee FC,Hibernian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Munashe Garananga,25,2026-02-22,Celtic,Hibernian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Munashe Garananga,25,2026-02-10,Heart of Midlothian,Hibernian,6.3,79,,,0.0,0,0,0.0,0.0,16,23,0,0,1,0,0,42
Munashe Garananga,25,2026-02-04,Hibernian,Dundee United,7.2,90,,,0.0,0,0,0.08,0.0,28,38,0,0,2,0,3,62
Munashe Garananga,25,2026-01-28,FC Barcelona,FC København,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Munashe Garananga,25,2026-01-20,FC København,SSC Napoli,6.7,9,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,0,3
Munashe Garananga,25,2025-12-29,Zimbabwe,South Africa,6.3,75,,,0.0,0,0,0.0,0.0,9,17,0,0,1,0,2,36
Munashe Garananga,25,2025-12-22,Egypt,Zimbabwe,6.3,90,,,0.0,0,0,0.0,0.0,4,8,0,0,0,0,1,21
Munashe Garananga,25,2025-12-10,Villarreal,FC København,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
