Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
George Stanger,25,2026-05-12,Kilmarnock,Dundee FC,6.3,90,,,0.0,0,0,0.0,0.01,43,54,0,0,2,0,6,71
George Stanger,25,2026-05-09,St. Mirren,Kilmarnock,7.4,90,,,0.0,0,0,0.0,0.0,30,41,0,0,1,0,3,54
George Stanger,25,2026-05-02,Kilmarnock,Dundee United,7.1,90,,,0.0,0,0,0.1,0.01,22,33,0,0,0,0,1,46
George Stanger,25,2026-04-25,Aberdeen,Kilmarnock,6.7,90,,,0.0,0,0,0.01,0.0,40,53,0,0,2,0,5,71
George Stanger,25,2026-04-11,Kilmarnock,Dundee FC,5.9,90,,,0.0,0,0,0.0,0.01,35,49,1,0,0,0,1,56
George Stanger,25,2026-04-04,Hibernian,Kilmarnock,6.3,90,,,0.0,0,0,0.0,0.02,23,26,0,0,0,0,5,38
George Stanger,25,2026-03-21,Kilmarnock,Livingston,6.8,90,,,0.0,0,0,0.0,0.0,32,37,0,0,1,0,4,52
George Stanger,25,2026-03-14,Kilmarnock,Heart of Midlothian,7.1,90,,,0.0,0,0,0.0,0.0,16,28,0,0,0,0,2,42
George Stanger,25,2026-02-28,Falkirk FC,Kilmarnock,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
George Stanger,25,2026-02-11,Kilmarnock,St. Mirren,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
George Stanger,25,2026-02-04,Rangers,Kilmarnock,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
George Stanger,25,2026-01-31,Kilmarnock,Aberdeen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
George Stanger,25,2026-01-24,Motherwell,Kilmarnock,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
George Stanger,25,2026-01-10,Livingston,Kilmarnock,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
