Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jack Hamilton,32,2026-05-12,Dundee United,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2026-05-09,Dundee FC,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2026-05-01,Livingston,Aberdeen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2026-04-25,St. Mirren,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2026-04-11,Dundee United,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-12-27,Livingston,Celtic,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-12-20,St. Mirren,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-12-13,Livingston,Dundee FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-12-06,Motherwell,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-11-30,Livingston,Aberdeen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-11-22,Rangers,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-11-08,Falkirk FC,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-11-01,Livingston,Hibernian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-10-25,Livingston,Motherwell,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jack Hamilton,32,2025-10-18,Hibernian,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
