Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Joshua Zimmerman,24,2026-05-12,Dundee United,Livingston,6.3,14,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,1,3
Joshua Zimmerman,24,2026-05-09,Dundee FC,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Zimmerman,24,2026-05-01,Livingston,Aberdeen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Zimmerman,24,2026-04-25,St. Mirren,Livingston,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Zimmerman,24,2026-04-11,Dundee United,Livingston,6.4,8,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2
Joshua Zimmerman,24,2026-04-05,Livingston,Heart of Midlothian,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Zimmerman,24,2026-01-31,Livingston,Motherwell,6.4,22,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,0,7
Joshua Zimmerman,24,2026-01-24,Aberdeen,Livingston,6.2,45,,,0.0,0,0,0.0,0.0,6,6,0,0,0,0,0,18
Joshua Zimmerman,24,2026-01-20,Livingston,St. Mirren,6.5,14,,,0.0,0,0,0.0,0.0,0,0,1,0,0,0,0,3
Joshua Zimmerman,24,2026-01-03,Heart of Midlothian,Livingston,6.6,18,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,1,7
Joshua Zimmerman,24,2025-12-17,TOP Oss,FC Utrecht,6.5,16,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,1,5
Joshua Zimmerman,24,2025-12-12,TOP Oss,ADO Den Haag,6.4,61,,,0.0,0,0,0.0,0.0,8,9,0,0,1,0,2,13
Joshua Zimmerman,24,2025-12-07,Vitesse,TOP Oss,6.5,64,,,0.0,0,0,0.0,0.01,8,10,0,0,0,0,1,17
Joshua Zimmerman,24,2025-11-29,TOP Oss,Almere City FC,6.6,12,,,0.0,0,0,0.3,0.11,2,3,1,0,0,0,0,5
Joshua Zimmerman,24,2025-11-24,Jong AZ Alkmaar,TOP Oss,6.3,69,,,0.0,0,0,0.0,0.0,4,6,0,0,0,0,2,16
