Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Fraser Taylor,22,2026-05-01,Partick Thistle,Queen's Park FC,6.8,33,,,0.0,0,0,0.0,0.07,18,24,1,0,0,0,0,30
Fraser Taylor,22,2026-04-25,Arbroath,Partick Thistle,6.4,35,,,0.0,0,0,0.0,0.0,5,10,0,0,1,0,2,18
Fraser Taylor,22,2026-04-18,Airdrieonians,Partick Thistle,6.6,68,,,0.0,0,0,0.1,0.05,25,29,2,0,1,0,3,40
Fraser Taylor,22,2026-04-11,Partick Thistle,Dunfermline Athletic,7.1,61,,,0.0,0,0,0.0,0.04,37,43,1,0,2,0,9,53
Fraser Taylor,22,2026-04-04,Ayr United,Partick Thistle,7.5,90,,,0.0,0,0,0.0,0.42,32,42,2,0,0,0,3,67
Fraser Taylor,22,2026-01-30,St. Johnstone,Partick Thistle,6.7,25,,,0.0,0,0,0.0,0.1,4,7,1,0,0,0,0,11
Fraser Taylor,22,2026-01-14,Heart of Midlothian,St. Mirren,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Fraser Taylor,22,2026-01-10,St. Mirren,Falkirk FC,6.6,90,,,0.0,0,0,0.0,0.11,36,43,2,0,0,0,6,56
Fraser Taylor,22,2026-01-03,Motherwell,St. Mirren,6.6,10,,,0.0,0,0,0.0,0.0,8,8,0,0,1,0,2,16
Fraser Taylor,22,2025-12-30,Rangers,St. Mirren,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Fraser Taylor,22,2025-12-27,St. Mirren,Kilmarnock,,1,,,0.0,0,0,0.0,0.0,4,4,0,0,0,0,0,4
