Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Mark O'Hara,30,2026-05-12,Aberdeen,St. Mirren,7.0,90,,,0.0,0,0,0.0,0.02,21,27,1,0,0,0,3,42
Mark O'Hara,30,2026-05-09,St. Mirren,Kilmarnock,6.5,45,,,0.0,0,0,0.16,0.0,12,16,0,0,1,0,1,28
Mark O'Hara,30,2026-05-02,Dundee FC,St. Mirren,6.2,80,,,0.0,0,0,0.0,0.06,20,29,1,0,0,0,3,44
Mark O'Hara,30,2026-04-25,St. Mirren,Livingston,7.1,90,,,0.0,0,0,0.11,0.02,33,43,0,0,0,0,4,60
Mark O'Hara,30,2026-04-11,Celtic,St. Mirren,6.4,73,,,0.0,0,0,0.0,0.03,26,28,0,0,1,0,1,43
Mark O'Hara,30,2026-04-04,St. Mirren,Aberdeen,7.1,90,,,0.0,0,0,0.02,0.23,23,30,1,0,1,0,3,50
Mark O'Hara,30,2026-03-21,Falkirk FC,St. Mirren,7.5,90,,,0.0,0,0,0.0,0.17,19,24,1,0,1,0,6,43
Mark O'Hara,30,2026-03-15,St. Mirren,Rangers,7.1,90,,,0.0,0,0,0.09,0.05,25,34,1,0,1,0,3,54
Mark O'Hara,30,2026-03-03,Dundee United,St. Mirren,6.8,84,,,0.0,0,0,0.18,0.24,9,21,1,0,0,0,1,27
Mark O'Hara,30,2026-02-28,Livingston,St. Mirren,6.8,90,,,0.0,0,0,0.18,0.13,25,29,1,0,1,0,5,46
Mark O'Hara,30,2026-02-21,St. Mirren,Motherwell,6.6,78,,,0.0,0,0,0.06,0.0,12,12,1,0,1,0,1,23
Mark O'Hara,30,2026-02-14,Hibernian,St. Mirren,6.4,32,,,0.0,0,0,0.0,0.0,8,10,0,0,1,0,2,12
Mark O'Hara,30,2025-12-27,St. Mirren,Kilmarnock,,1,,,0.0,0,0,0.0,0.01,2,2,0,0,0,0,1,2
