Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Isak Hien,27,2026-05-10,Milan,Atalanta,6.8,90,,,0.0,0,0,0.0,0.0,35,37,0,0,3,0,9,56
Isak Hien,27,2026-05-02,Atalanta,Genoa,6.8,33,,,0.0,0,0,0.0,0.0,13,15,1,0,2,0,6,27
Isak Hien,27,2026-04-27,Cagliari,Atalanta,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Isak Hien,27,2026-03-26,Ukraine,Sweden,7.1,37,,,0.0,0,0,0.0,0.0,9,10,0,0,2,0,1,23
Isak Hien,27,2026-03-22,Atalanta,Hellas Verona,6.9,14,,,0.0,0,0,0.0,0.0,6,6,0,0,0,0,0,13
Isak Hien,27,2026-03-18,FC Bayern München,Atalanta,5.7,90,,,0.0,0,0,0.0,0.0,35,36,0,0,0,0,1,41
Isak Hien,27,2026-03-14,Inter,Atalanta,6.8,25,,,0.0,0,0,0.0,0.0,12,13,0,0,2,0,1,21
Isak Hien,27,2026-03-10,Atalanta,FC Bayern München,4.9,90,,,0.0,0,0,0.0,0.0,17,19,0,0,0,0,1,28
Isak Hien,27,2026-03-07,Atalanta,Udinese,7.0,90,,,0.0,0,0,0.12,0.01,80,81,0,0,0,0,6,94
Isak Hien,27,2026-03-04,Lazio,Atalanta,6.5,90,,,0.0,0,0,0.0,0.0,60,67,0,0,3,0,5,82
Isak Hien,27,2026-03-01,Sassuolo,Atalanta,6.9,15,,,0.0,0,0,0.0,0.02,20,20,0,0,0,0,3,21
Isak Hien,27,2026-02-25,Atalanta,Borussia Dortmund,6.8,90,,,0.0,0,0,0.0,0.02,28,36,1,0,4,0,7,53
Isak Hien,27,2026-02-22,Atalanta,SSC Napoli,6.7,90,,,0.0,0,0,0.0,0.01,42,45,0,0,2,0,8,59
Isak Hien,27,2026-02-17,Borussia Dortmund,Atalanta,7.2,45,,,0.0,0,0,0.0,0.0,20,22,0,0,2,0,4,29
Isak Hien,27,2026-02-14,Lazio,Atalanta,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
