Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Charalampos Lykogiannis,32,2026-05-11,SSC Napoli,Bologna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-05-03,Bologna,Cagliari,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-04-25,Bologna,AS Roma,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-04-19,Juventus,Bologna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-04-16,Aston Villa,Bologna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-03-22,Bologna,Lazio,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-03-19,AS Roma,Bologna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-03-15,Sassuolo,Bologna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-03-12,Bologna,AS Roma,6.9,11,,,0.0,0,0,0.0,0.32,6,9,1,0,1,0,1,18
Charalampos Lykogiannis,32,2026-03-08,Bologna,Hellas Verona,6.9,13,,,0.0,0,0,0.0,0.11,4,8,1,0,0,0,1,13
Charalampos Lykogiannis,32,2026-02-08,Bologna,Parma,7.0,68,,,0.0,0,0,0.05,0.01,25,30,0,0,0,0,2,45
Charalampos Lykogiannis,32,2026-02-03,Bologna,Milan,6.6,12,,,0.0,0,0,0.0,0.01,9,13,0,0,0,0,1,18
Charalampos Lykogiannis,32,2026-01-29,Maccabi Tel Aviv,Bologna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Charalampos Lykogiannis,32,2026-01-25,Genoa,Bologna,6.0,90,,,0.0,0,0,0.05,0.19,34,48,5,0,1,0,5,72
Charalampos Lykogiannis,32,2026-01-22,Bologna,Celtic,7.1,11,,,0.0,0,0,0.0,0.12,6,7,1,0,0,0,0,11
