Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Marco Silvestri,35,2026-05-10,Cremonese,Pisa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-05-04,Cremonese,Lazio,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-04-24,SSC Napoli,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-04-19,Cremonese,Torino,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-04-11,Cagliari,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-04-05,Cremonese,Bologna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-03-21,Parma,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-03-16,Cremonese,Fiorentina,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-03-08,Lecce,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-03-01,Cremonese,Milan,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-02-22,AS Roma,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-02-15,Cremonese,Genoa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-02-09,Atalanta,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-02-01,Cremonese,Inter,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marco Silvestri,35,2026-01-25,Sassuolo,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
