Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Warren Bondo,22,2026-05-10,Cremonese,Pisa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Warren Bondo,22,2026-05-04,Cremonese,Lazio,6.7,29,,,0.0,0,0,0.06,0.0,21,23,0,0,0,0,1,30
Warren Bondo,22,2026-04-24,SSC Napoli,Cremonese,6.1,45,,,0.0,0,0,0.0,0.02,19,22,0,0,0,0,1,25
Warren Bondo,22,2026-04-19,Cremonese,Torino,6.6,90,,,0.0,0,0,0.02,0.03,43,45,0,0,0,0,5,54
Warren Bondo,22,2026-04-11,Cagliari,Cremonese,6.8,78,,,0.0,0,0,0.0,0.01,35,39,0,0,0,0,6,48
Warren Bondo,22,2026-04-05,Cremonese,Bologna,6.7,45,,,0.0,0,0,0.0,0.0,26,27,0,0,0,0,2,31
Warren Bondo,22,2026-03-16,Cremonese,Fiorentina,6.7,45,,,0.0,0,0,0.0,0.01,30,31,0,0,0,0,3,36
Warren Bondo,22,2026-03-08,Lecce,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Warren Bondo,22,2026-03-01,Cremonese,Milan,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Warren Bondo,22,2026-02-22,AS Roma,Cremonese,6.3,41,,,0.0,0,0,0.0,0.0,23,23,0,0,1,0,2,29
Warren Bondo,22,2026-01-19,Cremonese,Hellas Verona,6.8,90,,,0.0,0,0,0.0,0.0,25,31,0,0,2,0,4,47
Warren Bondo,22,2026-01-12,Juventus,Cremonese,5.7,70,,,0.0,0,0,0.0,0.01,24,26,0,0,1,0,1,36
Warren Bondo,22,2026-01-08,Cremonese,Cagliari,6.6,60,,,0.0,0,0,0.0,0.01,33,35,0,0,0,0,4,43
Warren Bondo,22,2026-01-04,Fiorentina,Cremonese,6.4,29,,,0.0,0,0,0.0,0.0,12,12,0,0,0,0,0,13
Warren Bondo,22,2025-12-28,Cremonese,SSC Napoli,6.6,13,,,0.0,0,0,0.04,0.01,8,8,0,0,0,0,0,11
