Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Tommaso Baldanzi,23,2026-04-19,Pisa,Genoa,6.7,65,,,0.0,0,0,0.17,0.08,26,31,2,0,1,0,3,44
Tommaso Baldanzi,23,2026-04-12,Genoa,Sassuolo,7.1,55,,,0.0,0,0,0.1,0.03,23,26,3,0,0,0,5,35
Tommaso Baldanzi,23,2026-04-06,Juventus,Genoa,7.0,38,,,0.0,0,0,0.1,0.09,18,18,0,0,1,0,3,32
Tommaso Baldanzi,23,2026-03-20,Genoa,Udinese,6.6,30,,,0.0,0,0,0.0,0.02,15,15,0,0,0,0,3,29
Tommaso Baldanzi,23,2026-03-15,Hellas Verona,Genoa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tommaso Baldanzi,23,2026-02-28,Inter,Genoa,6.6,66,,,0.0,0,0,0.0,0.03,36,42,2,0,0,0,3,54
Tommaso Baldanzi,23,2026-02-22,Genoa,Torino,6.9,65,,,0.0,0,0,0.09,0.06,35,41,1,0,0,0,4,62
Tommaso Baldanzi,23,2026-02-15,Cremonese,Genoa,6.9,18,,,0.0,0,0,0.0,0.28,16,17,1,0,0,0,3,23
Tommaso Baldanzi,23,2025-12-20,Juventus,AS Roma,7.0,34,,,0.0,1,0,0.68,0.23,18,19,1,0,1,0,1,30
Tommaso Baldanzi,23,2025-12-15,AS Roma,Como,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tommaso Baldanzi,23,2025-12-07,Cagliari,AS Roma,6.4,53,,,0.0,0,0,0.11,0.04,5,7,1,0,0,0,0,16
Tommaso Baldanzi,23,2025-11-30,AS Roma,SSC Napoli,6.6,45,,,0.0,0,0,0.21,0.0,7,10,0,0,0,0,1,15
Tommaso Baldanzi,23,2025-11-23,Cremonese,AS Roma,6.5,60,,,0.0,0,0,0.1,0.24,13,18,0,0,0,0,1,30
Tommaso Baldanzi,23,2025-11-09,AS Roma,Udinese,6.6,48,,,0.0,0,0,0.12,0.05,23,24,0,0,0,0,3,37
Tommaso Baldanzi,23,2025-11-02,Milan,AS Roma,6.8,13,,,0.0,0,0,0.0,0.05,8,8,0,0,0,0,0,10
