Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Davide De Battisti,20,2026-02-15,Hellas Verona U20,Fiorentina U20,6.3,90,,,0.0,0,0,0.0,0.43,9,13,2,0,1,0,3,24
Davide De Battisti,20,2026-02-20,Sassuolo,Hellas Verona,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Davide De Battisti,20,2026-02-21,Monza U20,Hellas Verona U20,6.1,90,,,0.0,0,0,0.07,0.0,23,34,0,0,0,0,5,58
Davide De Battisti,20,2026-02-27,Hellas Verona U20,Parma U20,6.5,90,,,0.0,0,0,0.09,0.0,20,33,0,0,1,0,8,52
Davide De Battisti,20,2026-03-03,Genoa U20,Hellas Verona U20,6.8,90,,,0.0,0,0,0.07,0.0,25,37,0,0,7,0,13,58
Davide De Battisti,20,2026-03-08,Hellas Verona U20,Frosinone U20,7.0,90,,,0.0,0,0,0.18,0.11,19,29,2,0,3,0,11,51
Davide De Battisti,20,2026-03-15,Hellas Verona,Genoa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Davide De Battisti,20,2026-03-20,Hellas Verona U20,Torino U20,6.6,90,,,0.0,0,0,0.09,0.03,22,34,1,0,0,0,2,48
Davide De Battisti,20,2026-04-06,Bologna U20,Hellas Verona U20,7.4,90,,,0.0,0,0,0.0,0.02,23,34,1,0,5,0,14,52
Davide De Battisti,20,2026-04-13,Hellas Verona U20,Lazio U20,6.8,72,,,0.0,0,0,0.21,0.13,16,24,1,0,2,0,4,41
Davide De Battisti,20,2026-04-19,Cremonese U20,Hellas Verona U20,6.4,5,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2
Davide De Battisti,20,2026-04-26,Lecce U20,Hellas Verona U20,6.6,19,,,0.0,0,0,0.0,0.0,2,5,0,0,0,0,1,9
Davide De Battisti,20,2026-05-02,Hellas Verona U20,Napoli U20,6.2,71,,,0.0,0,0,0.11,0.0,11,17,0,0,0,0,4,30
Davide De Battisti,20,2026-05-10,Hellas Verona,Como,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Davide De Battisti,20,2026-05-15,Hellas Verona U20,Roma U20,,90,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
