Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Victor Nelsson,27,2026-05-10,Hellas Verona,Como,7.1,90,,,0.0,0,0,0.05,0.0,15,20,0,0,3,0,4,41
Victor Nelsson,27,2026-05-03,Juventus,Hellas Verona,6.6,90,,,0.0,0,0,0.0,0.0,14,16,0,0,3,0,0,30
Victor Nelsson,27,2026-04-25,Hellas Verona,Lecce,7.3,90,,,0.0,0,0,0.0,0.0,18,30,1,0,1,0,6,56
Victor Nelsson,27,2026-04-19,Hellas Verona,Milan,7.4,90,,,0.0,0,0,0.0,0.01,35,46,0,0,4,0,5,65
Victor Nelsson,27,2026-04-11,Torino,Hellas Verona,6.6,90,,,0.0,0,0,0.0,0.01,38,50,0,0,2,0,2,66
Victor Nelsson,27,2026-04-04,Hellas Verona,Fiorentina,6.8,89,,,0.0,0,0,0.0,0.01,23,30,0,0,2,0,3,41
Victor Nelsson,27,2026-03-31,Czechia,Denmark,6.4,60,,,0.0,0,0,0.0,0.0,53,65,0,0,1,0,2,69
Victor Nelsson,27,2026-03-26,Denmark,North Macedonia,7.2,90,,,0.0,0,0,0.0,0.0,52,56,0,0,2,0,2,66
Victor Nelsson,27,2026-03-22,Atalanta,Hellas Verona,7.3,90,,,0.0,0,0,0.0,0.01,35,41,0,0,1,0,3,60
Victor Nelsson,27,2026-03-15,Hellas Verona,Genoa,6.4,90,,,0.0,0,0,0.0,0.0,35,42,0,0,0,0,4,52
Victor Nelsson,27,2026-03-08,Bologna,Hellas Verona,6.9,90,,,0.0,0,0,0.07,0.04,18,23,0,0,1,0,4,41
Victor Nelsson,27,2026-02-28,Hellas Verona,SSC Napoli,6.4,90,,,0.0,0,0,0.0,0.01,29,38,1,0,2,0,4,51
Victor Nelsson,27,2026-02-20,Sassuolo,Hellas Verona,6.8,90,,,0.0,0,0,0.0,0.01,66,72,0,0,2,0,4,86
Victor Nelsson,27,2026-02-15,Parma,Hellas Verona,6.3,90,,,0.0,0,0,0.0,0.0,12,13,0,0,1,0,0,23
Victor Nelsson,27,2026-02-06,Hellas Verona,Pisa,7.8,90,,,0.0,0,0,0.0,0.0,59,67,0,0,0,0,4,81
