Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Lautaro Martínez,28,2026-05-09,Lazio,Inter,8.0,63,,,0.0,1,0,0.28,0.05,16,21,4,0,2,0,1,29
Lautaro Martínez,28,2026-05-03,Inter,Parma,7.5,23,,,0.0,0,0,0.04,0.61,5,6,1,0,0,0,1,13
Lautaro Martínez,28,2026-04-26,Torino,Inter,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Lautaro Martínez,28,2026-04-12,Como,Inter,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Lautaro Martínez,28,2026-04-05,Inter,AS Roma,8.6,58,,,0.0,2,0,0.6,0.0,5,7,0,0,0,0,0,19
Lautaro Martínez,28,2026-03-08,Milan,Inter,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Lautaro Martínez,28,2026-02-18,Bodø/Glimt,Inter,6.6,61,,,0.0,0,0,0.38,0.02,14,16,1,0,1,0,2,30
Lautaro Martínez,28,2026-02-14,Inter,Juventus,6.5,90,,,0.0,0,0,0.08,0.05,17,20,1,0,0,0,3,31
Lautaro Martínez,28,2026-02-08,Sassuolo,Inter,8.0,76,,,0.0,1,0,0.18,0.09,20,23,3,0,0,0,4,36
Lautaro Martínez,28,2026-02-04,Inter,Torino,6.3,34,,,0.0,0,0,0.0,0.0,8,12,0,0,0,0,1,22
Lautaro Martínez,28,2026-02-01,Cremonese,Inter,7.2,74,,,0.0,1,0,0.27,0.04,27,32,0,0,0,0,0,45
Lautaro Martínez,28,2026-01-28,Borussia Dortmund,Inter,6.7,8,,,0.0,0,0,0.0,0.02,1,2,0,0,0,0,2,8
Lautaro Martínez,28,2026-01-23,Inter,Pisa,7.6,80,,,0.0,1,0,0.45,0.21,21,28,2,0,1,0,3,51
Lautaro Martínez,28,2026-01-20,Inter,Arsenal,6.9,63,,,0.0,0,0,0.02,0.29,19,25,2,0,0,0,5,37
Lautaro Martínez,28,2026-01-17,Udinese,Inter,7.6,88,,,0.0,1,0,0.55,0.04,18,25,2,0,0,0,1,39
