Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jonathan David,26,2026-05-09,Lecce,Juventus,6.4,13,,,0.0,0,0,0.0,0.06,3,3,1,0,0,0,0,8
Jonathan David,26,2026-05-03,Juventus,Hellas Verona,6.0,69,,,0.0,0,0,0.2,0.04,12,16,1,0,0,0,1,27
Jonathan David,26,2026-04-26,Milan,Juventus,6.7,87,,,0.0,0,0,0.17,0.01,14,19,0,0,0,0,2,32
Jonathan David,26,2026-04-19,Juventus,Bologna,7.0,72,,,0.0,1,0,0.2,0.01,15,17,0,0,0,0,3,28
Jonathan David,26,2026-04-11,Atalanta,Juventus,6.6,32,,,0.0,0,0,0.0,0.02,12,16,0,0,0,0,1,22
Jonathan David,26,2026-04-06,Juventus,Genoa,6.7,67,,,0.0,0,0,0.05,0.1,13,14,2,0,0,0,1,21
Jonathan David,26,2026-04-01,Canada,Tunisia,6.8,76,,,0.0,0,0,0.0,0.0,20,27,2,0,0,0,2,35
Jonathan David,26,2026-03-28,Canada,Iceland,8.0,87,,,0.0,2,0,0.0,0.0,24,32,1,0,0,0,7,52
Jonathan David,26,2026-03-21,Juventus,Sassuolo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jonathan David,26,2026-03-14,Udinese,Juventus,,1,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,3
Jonathan David,26,2026-03-07,Juventus,Pisa,6.3,45,,,0.0,0,0,0.42,0.03,9,17,1,0,0,0,3,24
Jonathan David,26,2026-03-01,AS Roma,Juventus,6.0,62,,,0.0,0,0,0.05,0.08,13,15,1,0,0,0,2,20
Jonathan David,26,2026-02-25,Juventus,Galatasaray,6.3,67,,,0.0,0,0,0.0,0.09,15,18,1,0,0,0,1,21
Jonathan David,26,2026-02-21,Juventus,Como,6.4,16,,,0.0,0,0,0.17,0.0,2,2,0,0,0,0,0,3
Jonathan David,26,2026-02-14,Inter,Juventus,6.4,61,,,0.0,0,0,0.0,0.02,9,11,1,0,0,0,0,17
