Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Corrie Ndaba,26,2026-05-09,Lecce,Juventus,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Corrie Ndaba,26,2026-05-01,Pisa,Lecce,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Corrie Ndaba,26,2026-04-25,Hellas Verona,Lecce,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Corrie Ndaba,26,2026-04-20,Lecce,Fiorentina,6.8,10,,,0.0,0,0,0.0,0.0,4,5,0,0,0,0,0,8
Corrie Ndaba,26,2026-04-12,Bologna,Lecce,5.7,45,,,0.0,0,0,0.0,0.0,8,10,0,0,0,0,1,13
Corrie Ndaba,26,2026-04-06,Lecce,Atalanta,6.1,90,,,0.0,0,0,0.0,0.01,32,37,1,0,2,0,4,55
Corrie Ndaba,26,2026-03-22,AS Roma,Lecce,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Corrie Ndaba,26,2026-03-14,SSC Napoli,Lecce,6.7,11,,,0.0,0,0,0.0,0.0,4,5,0,0,0,0,1,6
Corrie Ndaba,26,2026-03-08,Lecce,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Corrie Ndaba,26,2026-02-28,Como,Lecce,6.0,45,,,0.0,0,0,0.0,0.0,7,10,0,0,0,0,2,18
Corrie Ndaba,26,2026-02-21,Lecce,Inter,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Corrie Ndaba,26,2026-02-16,Cagliari,Lecce,7.0,10,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,6
Corrie Ndaba,26,2026-02-08,Lecce,Udinese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Corrie Ndaba,26,2026-02-01,Torino,Lecce,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Corrie Ndaba,26,2026-01-24,Lecce,Lazio,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
