Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ardon Jashari,23,2026-05-10,Milan,Atalanta,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ardon Jashari,23,2026-05-03,Sassuolo,Milan,6.5,66,,,0.0,0,0,0.02,0.02,39,45,0,0,0,0,2,55
Ardon Jashari,23,2026-04-26,Milan,Juventus,6.7,10,,,0.0,0,0,0.0,0.0,6,6,0,0,0,0,0,6
Ardon Jashari,23,2026-04-19,Hellas Verona,Milan,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ardon Jashari,23,2026-04-11,Milan,Udinese,6.5,18,,,0.0,0,0,0.0,0.0,11,15,0,0,0,0,1,18
Ardon Jashari,23,2026-04-06,SSC Napoli,Milan,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ardon Jashari,23,2026-03-31,Norway,Switzerland,6.7,45,,,0.0,0,0,0.0,0.0,38,44,0,0,0,0,2,46
Ardon Jashari,23,2026-03-27,Switzerland,Germany,6.6,45,,,0.0,0,0,0.0,0.0,29,31,0,0,1,0,3,38
Ardon Jashari,23,2026-03-21,Milan,Torino,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ardon Jashari,23,2026-03-15,Lazio,Milan,6.5,90,,,0.0,0,0,0.02,0.02,50,57,1,0,2,0,2,67
Ardon Jashari,23,2026-03-08,Milan,Inter,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ardon Jashari,23,2026-03-01,Cremonese,Milan,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ardon Jashari,23,2026-02-22,Milan,Parma,6.4,74,,,0.0,0,0,0.16,0.05,51,54,1,0,0,0,6,73
Ardon Jashari,23,2026-02-18,Milan,Como,7.3,90,,,0.0,0,0,0.0,0.04,58,60,3,0,1,0,4,70
Ardon Jashari,23,2026-02-13,Pisa,Milan,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
