Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Daniel Denoon,22,2026-01-06,Pisa,Como,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2026-01-03,Genoa,Pisa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-12-27,Pisa,Juventus,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-12-21,Cagliari,Pisa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-12-12,Lecce,Pisa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-11-24,Sassuolo,Pisa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-11-07,Pisa,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-11-02,Torino,Pisa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-10-30,Pisa,Lazio,6.6,45,,,0.0,0,0,0.0,0.0,11,13,0,0,1,0,1,26
Daniel Denoon,22,2025-10-24,Milan,Pisa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-10-18,Pisa,Hellas Verona,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-09-14,Pisa,Udinese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Daniel Denoon,22,2025-08-24,Atalanta,Pisa,6.4,78,,,0.0,0,0,0.0,0.0,16,19,0,0,0,0,3,31
