Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Robinio Vaz,19,2026-05-10,Parma,AS Roma,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Robinio Vaz,19,2026-05-04,AS Roma,Fiorentina,6.4,10,,,0.0,0,0,0.0,0.01,3,4,0,0,0,0,1,6
Robinio Vaz,19,2026-04-25,Bologna,AS Roma,6.2,29,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,1,8
Robinio Vaz,19,2026-04-18,AS Roma,Atalanta,6.8,19,,,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,5
Robinio Vaz,19,2026-04-10,AS Roma,Pisa,6.5,12,,,0.0,0,0,0.0,0.0,1,3,0,0,0,0,0,7
Robinio Vaz,19,2026-04-05,Inter,AS Roma,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Robinio Vaz,19,2026-03-22,AS Roma,Lecce,7.6,39,,,0.0,1,0,0.19,0.02,4,4,0,0,1,0,1,18
Robinio Vaz,19,2026-03-19,AS Roma,Bologna,6.6,63,,,0.0,0,0,0.12,0.0,6,10,0,0,0,0,1,32
Robinio Vaz,19,2026-03-15,Como,AS Roma,6.5,23,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,0,4
Robinio Vaz,19,2026-03-12,Bologna,AS Roma,6.5,45,,,0.0,0,0,0.0,0.0,3,5,0,0,0,0,2,18
Robinio Vaz,19,2026-03-08,Genoa,AS Roma,6.4,12,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2
Robinio Vaz,19,2026-03-01,AS Roma,Juventus,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Robinio Vaz,19,2026-02-22,AS Roma,Cremonese,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Robinio Vaz,19,2026-02-15,SSC Napoli,AS Roma,6.5,18,,,0.0,0,0,0.18,0.0,2,3,0,0,0,0,0,8
Robinio Vaz,19,2026-02-02,Udinese,AS Roma,6.7,11,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,5
