Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Luca Marianucci,21,2026-05-08,Torino,Sassuolo,7.0,90,,,0.0,0,0,0.01,0.01,43,55,1,0,1,0,2,70
Luca Marianucci,21,2026-05-02,Udinese,Torino,5.9,90,,,0.0,0,0,0.0,0.01,37,44,1,0,1,0,6,54
Luca Marianucci,21,2026-04-26,Torino,Inter,6.6,37,,,0.0,0,0,0.0,0.06,8,10,1,0,0,0,1,14
Luca Marianucci,21,2026-04-19,Cremonese,Torino,7.0,22,,,0.0,0,0,0.0,0.0,6,7,0,0,0,0,1,17
Luca Marianucci,21,2026-04-11,Torino,Hellas Verona,7.1,23,,,0.0,0,0,0.0,0.01,9,9,0,0,0,0,0,18
Luca Marianucci,21,2026-04-05,Pisa,Torino,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luca Marianucci,21,2026-03-21,Milan,Torino,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luca Marianucci,21,2026-03-13,Torino,Parma,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luca Marianucci,21,2026-03-06,SSC Napoli,Torino,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luca Marianucci,21,2026-03-01,Torino,Lazio,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luca Marianucci,21,2026-02-22,Genoa,Torino,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Luca Marianucci,21,2026-02-15,Torino,Bologna,6.1,85,,,0.0,0,0,0.0,0.01,25,36,1,0,2,0,3,49
Luca Marianucci,21,2026-02-07,Fiorentina,Torino,6.6,90,,,0.0,0,0,0.0,0.02,50,59,0,0,1,0,3,70
Luca Marianucci,21,2026-02-04,Inter,Torino,6.4,61,,,0.0,0,0,0.0,0.0,23,26,0,0,0,0,1,33
Luca Marianucci,21,2026-02-01,Torino,Lecce,6.9,90,,,0.0,0,0,0.0,0.01,25,34,0,0,3,0,2,48
