Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Valentino Lazaro,30,2026-05-08,Torino,Sassuolo,7.0,59,,,0.0,0,0,0.0,0.22,22,25,3,0,0,0,0,41
Valentino Lazaro,30,2026-05-02,Udinese,Torino,6.9,90,,,0.0,0,0,0.02,0.36,25,28,2,0,0,0,4,55
Valentino Lazaro,30,2026-04-26,Torino,Inter,6.9,54,,,0.0,0,0,0.0,0.01,10,14,0,0,0,0,2,23
Valentino Lazaro,30,2026-04-19,Cremonese,Torino,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Valentino Lazaro,30,2026-04-11,Torino,Hellas Verona,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Valentino Lazaro,30,2026-04-05,Pisa,Torino,7.1,12,,,0.0,0,0,0.0,0.14,2,3,1,0,0,0,1,6
Valentino Lazaro,30,2026-03-21,Milan,Torino,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Valentino Lazaro,30,2026-03-13,Torino,Parma,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Valentino Lazaro,30,2026-03-06,SSC Napoli,Torino,6.8,90,,,0.0,0,0,0.0,0.27,23,30,1,0,1,0,2,61
Valentino Lazaro,30,2026-03-01,Torino,Lazio,6.9,90,,,0.0,0,0,0.11,0.28,35,41,2,0,3,0,1,76
Valentino Lazaro,30,2026-02-22,Genoa,Torino,6.2,90,,,0.0,0,0,0.0,0.03,32,43,0,0,0,0,2,57
Valentino Lazaro,30,2026-02-15,Torino,Bologna,6.8,45,,,0.0,0,0,0.0,0.34,11,16,2,0,1,0,1,25
Valentino Lazaro,30,2026-02-07,Fiorentina,Torino,6.1,69,,,0.0,0,0,0.07,0.02,22,25,0,0,0,0,3,38
Valentino Lazaro,30,2026-02-04,Inter,Torino,6.5,29,,,0.0,0,0,0.0,0.0,4,7,0,0,1,0,0,12
Valentino Lazaro,30,2026-02-01,Torino,Lecce,7.3,70,,,0.0,0,0,0.06,0.09,14,23,1,0,0,0,5,47
