Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Arthur Atta,23,2026-05-09,Cagliari,Udinese,6.6,90,,,0.0,0,0,0.07,0.01,30,39,0,0,0,0,7,62
Arthur Atta,23,2026-05-02,Udinese,Torino,6.9,84,,,0.0,0,0,0.02,0.02,47,49,0,0,1,0,6,66
Arthur Atta,23,2026-04-27,Lazio,Udinese,8.9,90,,,0.0,2,0,1.01,0.13,62,67,0,0,0,0,6,86
Arthur Atta,23,2026-04-18,Udinese,Parma,7.1,90,,,0.0,0,0,0.07,0.28,47,54,0,0,0,0,3,74
Arthur Atta,23,2026-04-11,Milan,Udinese,7.3,85,,,0.0,1,0,0.08,0.01,32,41,1,0,3,0,3,58
Arthur Atta,23,2026-04-06,Udinese,Como,6.9,90,,,0.0,0,0,0.08,0.07,33,39,2,0,1,0,3,61
Arthur Atta,23,2026-03-20,Genoa,Udinese,6.3,45,,,0.0,0,0,0.0,0.01,13,15,0,0,0,0,1,28
Arthur Atta,23,2026-03-14,Udinese,Juventus,6.5,84,,,0.0,0,0,0.17,0.03,31,32,0,0,1,0,6,51
Arthur Atta,23,2026-03-07,Atalanta,Udinese,6.2,28,,,0.0,0,0,0.03,0.01,8,9,1,0,1,0,3,21
Arthur Atta,23,2026-02-23,Bologna,Udinese,6.5,90,,,0.0,0,0,0.0,0.04,32,37,2,0,1,0,2,53
Arthur Atta,23,2026-02-15,Udinese,Sassuolo,6.7,90,,,0.0,0,0,0.0,0.12,23,28,2,0,1,0,3,40
Arthur Atta,23,2026-02-08,Lecce,Udinese,6.8,90,,,0.0,0,0,0.05,0.03,24,31,0,0,1,0,6,60
Arthur Atta,23,2026-02-02,Udinese,AS Roma,6.8,90,,,0.0,0,0,0.05,0.02,16,20,0,0,1,0,3,40
Arthur Atta,23,2026-01-26,Hellas Verona,Udinese,8.2,90,,,0.0,1,0,0.54,0.09,21,25,3,0,1,0,3,54
Arthur Atta,23,2026-01-17,Udinese,Inter,6.1,75,,,0.0,0,0,0.0,0.01,23,34,0,0,1,0,6,50
