Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Maestro,22,2026-05-16,Fatih Karagümrük,Alanyaspor,6.9,81,,,0.0,0,0,0.07,0.02,36,36,0,0,2,0,6,47
Maestro,22,2026-05-03,Antalyaspor,Alanyaspor,6.7,61,,,0.0,0,0,0.0,0.06,20,24,1,0,0,0,6,34
Maestro,22,2026-04-27,Alanyaspor,Samsunspor,7.1,87,,,0.0,0,0,0.03,0.03,42,42,0,0,1,0,9,55
Maestro,22,2026-04-23,Beşiktaş JK,Alanyaspor,6.9,74,,,0.0,0,0,0.0,0.0,22,23,1,0,1,0,1,35
Maestro,22,2026-04-19,Kasımpaşa,Alanyaspor,6.7,29,,,0.0,0,0,0.0,0.0,18,19,0,0,0,0,0,21
Maestro,22,2026-04-11,Alanyaspor,Trabzonspor,6.7,22,,,0.0,0,0,0.03,0.0,7,9,0,0,0,0,4,14
Maestro,22,2026-04-04,Gaziantep FK,Alanyaspor,6.6,20,,,0.0,0,0,0.0,0.0,15,15,0,0,0,0,3,20
Maestro,22,2026-01-25,Çaykur Rizespor,Alanyaspor,5.8,43,,,0.0,0,0,0.06,0.01,23,25,0,0,0,0,4,33
Maestro,22,2026-01-18,Alanyaspor,Fenerbahçe,6.3,90,,,0.0,0,0,0.02,0.01,40,42,0,0,2,0,5,64
Maestro,22,2026-01-13,Alanyaspor,Fatih Karagümrük,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Maestro,22,2025-12-29,Angola,Egypt,6.9,79,,,0.0,0,0,0.0,0.0,26,28,2,0,1,0,3,43
Maestro,22,2025-12-26,Angola,Zimbabwe,6.7,10,,,0.0,0,0,0.0,0.0,9,9,1,0,0,0,0,14
Maestro,22,2025-12-22,South Africa,Angola,6.4,86,,,0.0,0,0,0.0,0.0,18,20,0,0,0,0,1,29
Maestro,22,2025-12-13,Kayserispor,Alanyaspor,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Maestro,22,2025-12-08,Alanyaspor,Antalyaspor,6.8,65,,,0.0,0,0,0.0,0.01,27,27,0,0,0,0,2,30
