Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Kenneth Paal,28,2026-05-09,Galatasaray,Antalyaspor,5.7,90,,,0.0,0,0,0.0,0.01,16,22,2,0,0,0,3,44
Kenneth Paal,28,2026-05-03,Antalyaspor,Alanyaspor,6.7,14,,,0.0,0,0,0.0,0.01,9,11,0,0,0,0,4,18
Kenneth Paal,28,2026-04-25,Göztepe,Antalyaspor,6.1,81,,,0.0,0,0,0.0,0.39,41,48,1,0,1,0,6,77
Kenneth Paal,28,2026-04-17,Antalyaspor,Konyaspor,6.3,90,,,0.0,0,0,0.0,0.01,49,50,1,0,1,0,5,73
Kenneth Paal,28,2026-04-10,Beşiktaş JK,Antalyaspor,6.2,90,,,0.0,0,0,0.0,0.01,19,22,1,0,1,0,2,31
Kenneth Paal,28,2026-04-05,Antalyaspor,Eyüpspor,6.9,90,,,0.0,0,0,0.0,0.01,27,35,0,0,1,0,5,55
Kenneth Paal,28,2026-03-18,Başakşehir FK,Antalyaspor,7.4,90,,,0.0,0,0,0.0,0.17,19,22,1,0,1,0,7,44
Kenneth Paal,28,2026-03-13,Antalyaspor,Gaziantep FK,5.8,90,,,0.0,0,0,0.0,0.11,42,54,3,0,1,0,2,69
Kenneth Paal,28,2026-03-08,Çaykur Rizespor,Antalyaspor,7.0,90,,,0.0,0,0,0.02,0.02,38,44,0,0,2,0,6,71
Kenneth Paal,28,2026-03-01,Antalyaspor,Fenerbahçe,6.7,90,,,0.0,0,0,0.06,0.04,25,32,1,0,0,0,8,50
Kenneth Paal,28,2026-02-22,Kayserispor,Antalyaspor,6.0,90,,,0.0,0,0,0.0,0.06,23,29,1,0,0,0,6,58
Kenneth Paal,28,2026-02-13,Antalyaspor,Samsunspor,6.5,90,,,0.0,0,0,0.0,0.0,22,30,0,0,1,0,5,54
Kenneth Paal,28,2026-02-07,Fatih Karagümrük,Antalyaspor,7.7,90,,,0.0,0,0,0.04,0.11,48,57,2,0,1,0,3,91
Kenneth Paal,28,2026-01-30,Antalyaspor,Trabzonspor,6.4,90,,,0.0,0,0,0.0,0.0,13,16,0,0,0,0,2,32
Kenneth Paal,28,2026-01-25,Antalyaspor,Gençlerbirliği,6.5,90,,,0.0,0,0,0.0,0.14,23,31,1,0,3,0,0,50
