Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
İlkay Gündoğan,35,2026-05-09,Galatasaray,Antalyaspor,6.4,45,,,0.0,0,0,0.0,0.02,25,28,0,0,0,0,2,33
İlkay Gündoğan,35,2026-05-02,Samsunspor,Galatasaray,6.5,45,,,0.0,0,0,0.0,0.01,27,30,0,0,0,0,2,32
İlkay Gündoğan,35,2026-04-26,Galatasaray,Fenerbahçe,6.6,8,,,0.0,0,0,0.0,0.02,23,24,0,0,0,0,1,25
İlkay Gündoğan,35,2026-04-22,Galatasaray,Gençlerbirliği,7.4,45,,,0.0,0,0,0.0,0.0,29,33,0,0,2,0,1,41
İlkay Gündoğan,35,2026-04-18,Gençlerbirliği,Galatasaray,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
İlkay Gündoğan,35,2026-04-12,Galatasaray,Kocaelispor,6.8,75,,,0.0,0,0,0.05,0.07,55,61,0,0,2,0,5,69
İlkay Gündoğan,35,2026-04-08,Göztepe,Galatasaray,6.6,79,,,0.0,0,0,0.0,0.01,48,56,0,0,0,0,2,62
İlkay Gündoğan,35,2026-04-04,Trabzonspor,Galatasaray,6.3,45,,,0.0,0,0,0.0,0.05,31,34,1,0,0,0,6,34
İlkay Gündoğan,35,2026-03-18,Liverpool FC,Galatasaray,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
İlkay Gündoğan,35,2026-03-14,Galatasaray,Başakşehir FK,6.7,16,,,0.0,0,0,0.0,0.0,16,17,0,0,0,0,1,19
İlkay Gündoğan,35,2026-03-10,Galatasaray,Liverpool FC,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
İlkay Gündoğan,35,2026-03-07,Beşiktaş JK,Galatasaray,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
İlkay Gündoğan,35,2026-02-28,Galatasaray,Alanyaspor,6.5,11,,,0.0,0,0,0.0,0.0,5,5,0,0,0,0,0,7
İlkay Gündoğan,35,2026-02-25,Juventus,Galatasaray,7.0,49,,,0.0,0,0,0.0,0.04,51,56,0,0,1,0,1,64
