Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Anthony Dennis,21,2026-05-16,Samsunspor,Göztepe,6.5,70,,,0.0,0,0,0.0,0.0,13,15,0,0,1,0,1,24
Anthony Dennis,21,2026-05-09,Göztepe,Gaziantep FK,7.0,83,,,0.0,0,0,0.03,0.06,18,23,1,0,3,0,6,40
Anthony Dennis,21,2026-05-02,Trabzonspor,Göztepe,6.7,76,,,0.0,0,0,0.0,0.01,27,32,0,0,0,0,7,49
Anthony Dennis,21,2026-04-18,Kocaelispor,Göztepe,6.3,72,,,0.0,0,0,0.0,0.02,12,21,0,0,0,0,9,33
Anthony Dennis,21,2026-04-12,Göztepe,Kasımpaşa,6.0,57,,,0.0,0,0,0.02,0.0,18,25,0,0,1,0,4,37
Anthony Dennis,21,2026-04-08,Göztepe,Galatasaray,7.0,79,,,0.0,0,0,0.0,0.0,13,18,0,0,2,0,10,30
Anthony Dennis,21,2026-04-04,Gençlerbirliği,Göztepe,6.9,89,,,0.0,0,0,0.0,0.0,15,19,0,0,1,0,8,38
Anthony Dennis,21,2026-03-14,Göztepe,Alanyaspor,6.7,90,,,0.0,0,0,0.1,0.01,21,25,0,0,2,0,7,43
Anthony Dennis,21,2026-03-07,Başakşehir FK,Göztepe,6.3,90,,,0.0,0,0,0.03,0.05,21,29,2,0,0,0,5,52
Anthony Dennis,21,2026-02-28,Göztepe,Eyüpspor,6.9,45,,,0.0,0,0,0.0,0.01,12,18,0,0,0,0,2,25
Anthony Dennis,21,2026-02-22,Beşiktaş JK,Göztepe,6.5,68,,,0.0,0,0,0.05,0.01,17,19,1,0,1,0,4,33
Anthony Dennis,21,2026-02-15,Göztepe,Kayserispor,6.9,75,,,0.0,0,0,0.0,0.07,26,33,1,0,1,0,6,46
Anthony Dennis,21,2026-02-08,Konyaspor,Göztepe,6.2,90,,,0.0,0,0,0.02,0.01,24,29,0,0,0,0,9,41
Anthony Dennis,21,2026-01-31,Göztepe,Fatih Karagümrük,6.6,90,,,0.0,0,0,0.0,0.06,30,38,1,0,2,0,12,50
Anthony Dennis,21,2026-01-19,Göztepe,Çaykur Rizespor,6.6,90,,,0.0,0,0,0.0,0.01,19,24,0,0,0,0,8,34
