Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Fousseni Diabaté,30,2026-05-09,Gençlerbirliği,Kasımpaşa,6.4,79,,,0.0,0,0,0.0,0.3,13,14,1,0,0,0,4,18
Fousseni Diabaté,30,2026-05-03,Kasımpaşa,Kocaelispor,6.4,90,,,0.0,0,0,0.0,0.01,18,20,1,0,0,0,4,26
Fousseni Diabaté,30,2026-04-24,Başakşehir FK,Kasımpaşa,5.9,90,,,0.0,0,0,0.0,0.05,14,20,1,0,1,0,2,29
Fousseni Diabaté,30,2026-04-19,Kasımpaşa,Alanyaspor,6.4,88,,,0.0,0,0,0.0,0.02,21,23,0,0,1,0,2,28
Fousseni Diabaté,30,2026-04-12,Göztepe,Kasımpaşa,5.7,89,,,0.0,0,0,0.0,0.01,21,25,0,0,2,0,6,29
Fousseni Diabaté,30,2026-04-04,Kasımpaşa,Kayserispor,6.8,89,,,0.0,0,0,0.0,0.26,16,18,1,0,0,0,3,27
Fousseni Diabaté,30,2026-03-19,Beşiktaş JK,Kasımpaşa,6.2,90,,,0.0,0,0,0.01,0.06,24,30,1,0,0,0,2,39
Fousseni Diabaté,30,2026-03-15,Kasımpaşa,Eyüpspor,6.6,87,,,0.0,0,0,0.0,0.02,14,19,1,0,0,0,3,33
Fousseni Diabaté,30,2026-03-08,Konyaspor,Kasımpaşa,6.9,90,,,0.0,0,0,0.0,0.11,13,19,2,0,1,0,4,37
Fousseni Diabaté,30,2026-02-28,Kasımpaşa,Çaykur Rizespor,6.5,90,,,0.0,0,0,0.0,0.04,24,30,2,0,0,0,3,47
Fousseni Diabaté,30,2026-02-23,Fenerbahçe,Kasımpaşa,6.5,84,,,0.0,0,0,0.61,0.0,15,21,0,0,0,0,4,37
Fousseni Diabaté,30,2026-02-16,Kasımpaşa,Fatih Karagümrük,6.5,14,,,0.0,0,0,0.11,0.0,3,4,0,0,0,0,0,8
Fousseni Diabaté,30,2026-02-09,Gaziantep FK,Kasımpaşa,6.3,26,,,0.0,0,0,0.0,0.01,6,7,0,0,0,0,0,10
Fousseni Diabaté,30,2026-01-30,Kasımpaşa,Samsunspor,6.8,63,,,0.0,0,0,0.03,0.05,12,14,1,0,0,0,1,28
Fousseni Diabaté,30,2026-01-23,Trabzonspor,Kasımpaşa,7.5,90,,,0.0,1,0,0.14,0.07,25,30,1,0,0,0,4,37
