Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Botond Balogh,23,2026-03-18,Alanyaspor,Kocaelispor,5.9,90,,,0.0,0,0,0.06,0.01,47,54,1,0,3,0,3,68
Botond Balogh,23,2026-03-14,Kocaelispor,Konyaspor,5.9,12,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,2
Botond Balogh,23,2026-03-09,Eyüpspor,Kocaelispor,7.3,90,,,0.0,0,0,0.0,0.02,16,25,0,0,3,0,3,42
Botond Balogh,23,2026-03-04,Beyoğlu Yeni Çarşı FAŞ,Kocaelispor,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Botond Balogh,23,2026-02-28,Kocaelispor,Beşiktaş JK,6.9,90,,,0.0,0,0,0.15,0.01,46,55,0,0,1,0,1,66
Botond Balogh,23,2026-02-20,Çaykur Rizespor,Kocaelispor,6.6,56,,,0.0,0,0,0.0,0.0,41,46,0,0,2,0,4,54
Botond Balogh,23,2026-02-15,Kocaelispor,Gaziantep FK,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Botond Balogh,23,2026-02-09,Kayserispor,Kocaelispor,7.6,90,,,0.0,0,0,0.02,0.0,43,51,1,0,1,0,2,75
Botond Balogh,23,2026-02-05,Kocaelispor,Beşiktaş JK,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Botond Balogh,23,2026-02-02,Kocaelispor,Fenerbahçe,5.6,90,,,0.0,0,0,0.0,0.01,45,59,0,0,0,0,2,60
Botond Balogh,23,2026-01-24,Samsunspor,Kocaelispor,7.7,90,,,0.0,0,0,0.0,0.02,29,35,0,0,1,0,1,49
Botond Balogh,23,2026-01-18,Kocaelispor,Trabzonspor,6.7,33,,,0.0,0,0,0.0,0.0,16,18,0,0,1,0,1,24
Botond Balogh,23,2025-12-23,Kocaelispor,Erzurumspor FK,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Botond Balogh,23,2025-12-19,Kocaelispor,Antalyaspor,6.3,90,,,0.0,0,0,0.0,0.0,44,53,0,0,3,0,2,65
