Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Tayfur Bingöl,33,2026-05-09,Kocaelispor,Fatih Karagümrük,6.2,29,,,0.0,0,0,0.08,0.03,9,9,1,0,0,0,0,14
Tayfur Bingöl,33,2026-05-03,Kasımpaşa,Kocaelispor,6.8,33,,,0.0,0,0,0.0,0.0,2,2,0,0,1,0,0,11
Tayfur Bingöl,33,2026-04-26,Gençlerbirliği,Kocaelispor,6.3,62,,,0.0,0,0,0.0,0.01,15,19,0,0,0,0,2,28
Tayfur Bingöl,33,2026-04-18,Kocaelispor,Göztepe,6.6,74,,,0.0,0,0,0.24,0.05,13,18,1,0,0,0,3,29
Tayfur Bingöl,33,2026-04-12,Galatasaray,Kocaelispor,6.9,37,,,0.0,0,0,0.0,0.4,7,10,2,0,0,0,2,13
Tayfur Bingöl,33,2026-04-06,Kocaelispor,Başakşehir FK,6.9,68,,,0.0,0,0,0.13,0.06,7,10,2,0,0,0,2,18
Tayfur Bingöl,33,2026-03-18,Alanyaspor,Kocaelispor,5.7,45,,,0.0,0,0,0.03,0.0,11,11,0,0,0,0,1,15
Tayfur Bingöl,33,2026-03-14,Kocaelispor,Konyaspor,6.6,69,,,0.0,0,0,0.14,0.02,19,19,0,0,1,0,5,27
Tayfur Bingöl,33,2026-03-09,Eyüpspor,Kocaelispor,6.6,28,,,0.0,0,0,0.0,0.0,3,9,0,0,0,0,3,15
Tayfur Bingöl,33,2026-03-04,Beyoğlu Yeni Çarşı FAŞ,Kocaelispor,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tayfur Bingöl,33,2026-02-28,Kocaelispor,Beşiktaş JK,6.1,61,,,0.0,0,0,0.0,0.0,9,13,0,0,0,0,2,28
Tayfur Bingöl,33,2026-02-15,Kocaelispor,Gaziantep FK,6.7,72,,,0.0,0,0,0.18,0.4,21,23,2,0,0,0,2,32
Tayfur Bingöl,33,2026-02-09,Kayserispor,Kocaelispor,6.4,72,,,0.0,0,0,0.07,0.01,20,22,1,0,0,0,3,40
Tayfur Bingöl,33,2026-02-05,Kocaelispor,Beşiktaş JK,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tayfur Bingöl,33,2026-01-24,Samsunspor,Kocaelispor,6.2,68,,,0.0,0,0,0.0,0.01,13,18,1,0,0,0,7,35
