Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Carlo Holse,26,2026-05-16,Samsunspor,Göztepe,7.1,90,,,0.0,0,0,0.09,0.26,34,40,1,0,3,0,4,61
Carlo Holse,26,2026-05-09,Başakşehir FK,Samsunspor,6.2,90,,,0.0,0,0,0.03,0.11,42,54,4,0,0,0,4,63
Carlo Holse,26,2026-05-02,Samsunspor,Galatasaray,7.1,90,,,0.0,0,0,0.03,0.05,43,51,1,0,2,0,9,68
Carlo Holse,26,2026-04-27,Alanyaspor,Samsunspor,6.7,90,,,0.0,0,0,0.21,0.03,31,35,1,0,0,0,5,54
Carlo Holse,26,2026-04-23,Samsunspor,Trabzonspor,8.3,120,,,0.0,0,0,0.0,0.0,33,38,2,0,1,0,8,67
Carlo Holse,26,2026-04-19,Samsunspor,Beşiktaş JK,8.1,90,,,0.0,1,0,0.14,0.05,29,33,1,0,0,0,2,47
Carlo Holse,26,2026-04-09,Çaykur Rizespor,Samsunspor,5.9,90,,,0.0,0,0,0.25,0.35,32,39,2,0,1,0,3,53
Carlo Holse,26,2026-04-05,Samsunspor,Konyaspor,9.1,90,,,0.0,2,0,0.46,0.12,43,48,3,0,1,0,4,67
Carlo Holse,26,2026-03-19,Rayo Vallecano,Samsunspor,6.9,87,,,0.0,0,0,0.04,0.02,26,29,0,0,0,0,4,41
Carlo Holse,26,2026-03-15,Samsunspor,Kayserispor,6.1,90,,,0.0,0,0,0.29,0.03,28,36,0,0,0,0,4,51
Carlo Holse,26,2026-03-12,Samsunspor,Rayo Vallecano,6.2,90,,,0.0,0,0,0.06,0.02,31,43,1,0,0,0,2,57
Carlo Holse,26,2026-03-08,Fenerbahçe,Samsunspor,7.1,90,,,0.0,0,0,0.02,0.18,29,33,3,0,0,0,7,52
Carlo Holse,26,2026-03-05,Antalyaspor,Samsunspor,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Carlo Holse,26,2026-03-01,Samsunspor,Gaziantep FK,7.1,65,,,0.0,0,0,0.26,0.03,24,32,2,0,1,0,1,53
Carlo Holse,26,2026-02-26,Samsunspor,KF Shkëndija,7.9,90,,,0.0,0,0,0.02,0.56,45,54,1,0,0,0,10,70
