Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Josafat Mendes,23,2026-05-09,Başakşehir FK,Samsunspor,5.7,86,,,0.0,0,0,0.0,0.02,26,27,2,0,0,0,4,34
Josafat Mendes,23,2026-05-02,Samsunspor,Galatasaray,6.7,87,,,0.0,0,0,0.15,0.02,33,36,0,0,2,0,6,59
Josafat Mendes,23,2026-04-27,Alanyaspor,Samsunspor,7.8,89,,,0.0,0,0,0.0,0.17,25,27,3,0,0,0,6,48
Josafat Mendes,23,2026-04-23,Samsunspor,Trabzonspor,6.7,27,,,0.0,0,0,0.0,0.0,4,5,0,0,0,0,2,10
Josafat Mendes,23,2026-04-19,Samsunspor,Beşiktaş JK,6.3,18,,,0.0,0,0,0.0,0.0,4,4,0,0,1,0,1,8
Josafat Mendes,23,2026-04-13,Eyüpspor,Samsunspor,7.1,83,,,0.0,0,0,0.02,0.05,42,46,1,0,0,0,3,73
Josafat Mendes,23,2026-04-09,Çaykur Rizespor,Samsunspor,5.8,90,,,0.0,0,0,0.06,0.02,31,33,1,0,1,0,4,49
Josafat Mendes,23,2026-04-05,Samsunspor,Konyaspor,6.3,17,,,0.0,0,0,0.0,0.0,6,7,0,0,0,0,0,12
Josafat Mendes,23,2026-03-19,Rayo Vallecano,Samsunspor,7.7,80,,,0.0,0,0,0.03,0.21,26,29,1,0,0,0,4,63
Josafat Mendes,23,2026-03-15,Samsunspor,Kayserispor,7.2,17,,,0.0,0,0,0.0,0.03,13,14,2,0,1,0,1,25
Josafat Mendes,23,2026-03-12,Samsunspor,Rayo Vallecano,6.9,64,,,0.0,0,0,0.0,0.07,15,17,2,0,0,0,1,34
Josafat Mendes,23,2026-03-08,Fenerbahçe,Samsunspor,6.5,45,,,0.0,0,0,0.02,0.0,9,11,0,0,0,0,0,21
Josafat Mendes,23,2026-03-05,Antalyaspor,Samsunspor,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Josafat Mendes,23,2026-03-01,Samsunspor,Gaziantep FK,6.8,90,,,0.0,0,0,0.04,0.03,38,42,0,0,0,0,3,72
Josafat Mendes,23,2026-02-26,Samsunspor,KF Shkëndija,7.0,15,,,0.0,0,0,0.0,0.0,11,12,0,0,0,0,3,18
