Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Tanguy Coulibaly,25,2026-05-16,Samsunspor,Göztepe,8.2,90,,,0.0,1,0,0.48,0.08,25,29,1,0,0,0,4,52
Tanguy Coulibaly,25,2026-05-02,Samsunspor,Galatasaray,6.6,72,,,0.0,0,0,0.06,0.22,10,13,0,0,1,0,6,32
Tanguy Coulibaly,25,2026-04-27,Alanyaspor,Samsunspor,6.5,8,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,0,2
Tanguy Coulibaly,25,2026-04-23,Samsunspor,Trabzonspor,6.8,89,,,0.0,0,0,0.0,0.0,22,24,2,0,3,0,5,44
Tanguy Coulibaly,25,2026-04-19,Samsunspor,Beşiktaş JK,7.8,82,,,0.0,1,0,0.12,0.19,22,28,1,0,0,0,3,42
Tanguy Coulibaly,25,2026-04-13,Eyüpspor,Samsunspor,6.5,20,,,0.0,0,0,0.0,0.1,13,13,0,0,0,0,2,22
Tanguy Coulibaly,25,2026-04-09,Çaykur Rizespor,Samsunspor,6.1,86,,,0.0,0,0,0.09,0.01,25,29,0,0,1,0,4,47
Tanguy Coulibaly,25,2026-04-05,Samsunspor,Konyaspor,6.5,73,,,0.0,0,0,0.24,0.03,14,19,0,0,0,0,1,42
Tanguy Coulibaly,25,2026-03-19,Rayo Vallecano,Samsunspor,6.4,10,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,1,6
Tanguy Coulibaly,25,2026-03-15,Samsunspor,Kayserispor,6.9,17,,,0.0,0,0,0.0,0.08,15,18,1,0,0,0,2,24
Tanguy Coulibaly,25,2026-03-12,Samsunspor,Rayo Vallecano,6.7,26,,,0.0,0,0,0.03,0.01,12,13,0,0,0,0,2,18
Tanguy Coulibaly,25,2026-03-08,Fenerbahçe,Samsunspor,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tanguy Coulibaly,25,2025-10-23,Samsunspor,Dynamo Kyiv,7.3,72,,,0.0,0,0,0.01,0.08,15,16,1,0,2,0,3,36
Tanguy Coulibaly,25,2025-10-19,Kayserispor,Samsunspor,7.1,62,,,0.0,0,0,0.21,0.14,9,12,1,0,0,0,1,27
