Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ernest Muçi,25,2026-05-13,Gençlerbirliği,Trabzonspor,6.9,90,,,0.0,1,0,0.0,0.0,27,36,6,0,0,0,1,65
Ernest Muçi,25,2026-05-09,Beşiktaş JK,Trabzonspor,7.9,77,,,0.0,1,0,0.33,0.0,16,18,0,0,0,0,2,39
Ernest Muçi,25,2026-05-02,Trabzonspor,Göztepe,6.8,45,,,0.0,0,0,0.01,0.18,11,12,2,0,0,0,3,22
Ernest Muçi,25,2026-04-27,Konyaspor,Trabzonspor,6.6,67,,,0.0,0,0,0.1,0.44,34,40,3,0,0,0,3,52
Ernest Muçi,25,2026-04-23,Samsunspor,Trabzonspor,8.6,48,,,0.0,0,0,0.0,0.0,30,36,4,0,0,0,2,57
Ernest Muçi,25,2026-04-19,Trabzonspor,Başakşehir FK,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ernest Muçi,25,2026-03-26,Poland,Albania,6.6,8,,,0.0,0,0,0.0,0.0,7,10,0,0,0,0,0,11
Ernest Muçi,25,2026-03-18,Eyüpspor,Trabzonspor,6.5,90,,,0.0,0,0,0.07,0.29,26,38,3,0,1,0,3,57
Ernest Muçi,25,2026-03-14,Trabzonspor,Çaykur Rizespor,7.4,89,,,0.0,0,0,0.03,0.15,29,32,2,0,0,0,3,54
Ernest Muçi,25,2026-03-09,Kayserispor,Trabzonspor,7.1,89,,,0.0,0,0,0.28,0.27,48,52,3,0,0,0,2,72
Ernest Muçi,25,2026-03-03,Başakşehir FK,Trabzonspor,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ernest Muçi,25,2026-02-27,Trabzonspor,Fatih Karagümrük,7.6,90,,,0.0,0,0,0.05,0.65,40,46,6,0,0,0,5,66
Ernest Muçi,25,2026-02-22,Gaziantep FK,Trabzonspor,7.0,90,,,0.0,0,0,0.56,0.34,27,30,4,0,1,0,1,52
Ernest Muçi,25,2026-02-14,Trabzonspor,Fenerbahçe,7.4,90,,,0.0,1,0,0.33,0.17,38,42,5,0,0,0,5,75
Ernest Muçi,25,2026-02-07,Samsunspor,Trabzonspor,7.9,90,,,0.0,1,0,1.33,0.29,21,29,2,0,0,0,1,47
