Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Íñigo Lekue,2026-01-17,Mallorca,Athletic Club,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-01-21,Atalanta,Athletic Club,6.4,90,,,0.0,0,0,0.0,0.01,25,36,0,0,3,0,6,57
Íñigo Lekue,2026-01-28,Athletic Club,Sporting CP,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-02-04,Valencia,Athletic Club,6.6,90,,,0.0,0,0,0.0,0.0,38,43,0,0,1,0,3,65
Íñigo Lekue,2026-02-08,Athletic Club,Levante UD,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-02-11,Athletic Club,Real Sociedad,6.6,90,,,0.0,0,0,0.0,0.0,36,43,2,0,1,0,4,69
Íñigo Lekue,2026-02-15,Real Oviedo,Athletic Club,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-02-20,Athletic Club,Elche,5.7,80,,,0.0,0,0,0.0,0.01,24,31,0,0,1,0,4,49
Íñigo Lekue,2026-02-28,Rayo Vallecano,Athletic Club,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-03-04,Real Sociedad,Athletic Club,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-03-07,Athletic Club,FC Barcelona,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-03-14,Girona FC,Athletic Club,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-03-22,Athletic Club,Real Betis,6.3,90,,,0.0,0,0,0.0,0.02,18,28,1,0,0,0,8,55
Íñigo Lekue,2026-04-05,Getafe,Athletic Club,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Íñigo Lekue,2026-04-12,Athletic Club,Villarreal,5.9,45,,,0.0,0,0,0.0,0.01,18,21,0,0,1,0,3,42
