Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Antoine Griezmann,2026-02-28,Real Oviedo,Atlético Madrid,6.4,29,3175.0,6.0,109.48,0,0,0.0,0.02,17,21,1,0,0,0,2,25,0.0,1.89
Antoine Griezmann,2026-03-03,FC Barcelona,Atlético Madrid,7.4,90,9764.0,19.0,108.49,0,0,0.0,0.0,29,35,3,0,1,0,9,48,0.0,1.95
Antoine Griezmann,2026-03-07,Atlético Madrid,Real Sociedad,7.1,37,4028.0,7.0,108.86,0,0,0.0,0.21,14,19,3,0,0,0,3,25,0.0,1.74
Antoine Griezmann,2026-03-10,Atlético Madrid,Tottenham Hotspur,8.2,81,8799.0,17.0,108.63,1,0,0.56,0.03,34,41,1,0,1,0,4,58,0.0,1.93
Antoine Griezmann,2026-03-14,Atlético Madrid,Getafe,6.5,17,1898.0,3.0,111.65,0,0,0.64,0.02,13,16,1,0,0,0,2,21,0.0,1.58
Antoine Griezmann,2026-03-18,Tottenham Hotspur,Atlético Madrid,6.8,84,9076.0,16.0,108.05,0,0,0.04,0.03,36,40,1,0,0,0,5,46,0.0,1.76
Antoine Griezmann,2026-03-22,Real Madrid,Atlético Madrid,6.8,57,6161.0,11.0,108.09,0,0,0.07,0.14,27,31,2,0,0,0,0,42,0.0,1.79
Antoine Griezmann,2026-04-04,Atlético Madrid,FC Barcelona,6.6,61,6527.0,12.0,107.0,0,0,0.45,0.02,15,17,0,0,0,0,1,26,0.0,1.84
Antoine Griezmann,2026-04-08,FC Barcelona,Atlético Madrid,6.8,80,8618.0,17.0,107.72,0,0,0.0,0.01,25,30,0,0,1,0,4,40,0.0,1.97
Antoine Griezmann,2026-04-11,Sevilla,Atlético Madrid,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Antoine Griezmann,2026-04-14,Atlético Madrid,FC Barcelona,6.9,76,8165.0,15.0,107.43,0,0,0.16,0.28,17,24,3,0,0,0,0,44,0.0,1.84
Antoine Griezmann,2026-04-18,Atlético Madrid,Real Sociedad,6.8,70,7560.0,13.0,108.0,0,0,0.0,0.0,30,31,2,0,0,0,1,47,0.0,1.72
Antoine Griezmann,2026-04-22,Elche,Atlético Madrid,6.8,28,3070.0,5.0,109.64,0,0,0.06,0.0,14,18,0,0,0,0,1,28,0.0,1.63
Antoine Griezmann,2026-04-25,Atlético Madrid,Athletic Club,7.3,63,6758.0,14.0,107.27,1,0,0.62,0.11,19,27,0,0,1,0,0,34,0.0,2.07
Antoine Griezmann,2026-04-29,Atlético Madrid,Arsenal,6.8,90,9710.0,17.0,107.89,0,0,0.31,0.14,39,48,2,0,0,0,0,62,0.0,1.75
