Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Julián Alvarez,2026-02-28,Real Oviedo,Atlético Madrid,7.8,45,4876.0,9.0,108.36,1,0,0.27,0.1,20,21,1,0,0,0,1,33,0,1.85
Julián Alvarez,2026-03-03,FC Barcelona,Atlético Madrid,6.8,69,7442.0,13.0,107.86,0,0,0.0,0.0,17,21,0,0,0,0,3,38,0,1.75
Julián Alvarez,2026-03-07,Atlético Madrid,Real Sociedad,6.9,37,3998.0,7.0,108.05,0,0,0.0,0.5,13,17,2,0,0,0,1,24,0,1.75
Julián Alvarez,2026-03-10,Atlético Madrid,Tottenham Hotspur,10.0,73,7874.0,14.0,107.86,2,0,1.26,0.19,23,26,2,0,0,0,5,35,0,1.78
Julián Alvarez,2026-03-14,Atlético Madrid,Getafe,6.9,24,2625.0,5.0,109.38,0,0,0.29,0.16,15,17,0,0,0,0,1,22,0,1.9
Julián Alvarez,2026-03-18,Tottenham Hotspur,Atlético Madrid,8.8,84,9093.0,16.0,108.25,1,0,0.65,0.09,25,27,3,0,0,0,3,56,0,1.76
Julián Alvarez,2026-03-22,Real Madrid,Atlético Madrid,7.4,90,9723.0,19.0,108.03,0,0,0.26,0.03,42,47,1,0,1,0,0,65,0,1.95
Julián Alvarez,2026-03-28,Argentina,Mauritania,7.0,45,4876.0,9.0,108.36,0,0,0.0,0.0,17,22,1,0,0,0,2,30,0,1.85
Julián Alvarez,2026-04-01,Argentina,Zambia,7.3,70,7547.0,13.0,107.81,1,0,0.0,0.0,29,33,1,0,0,0,3,38,0,1.72
Julián Alvarez,2026-04-04,Atlético Madrid,FC Barcelona,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Julián Alvarez,2026-04-08,FC Barcelona,Atlético Madrid,8.1,90,9635.0,17.0,107.06,1,0,0.24,0.02,20,24,1,0,0,0,1,41,0,1.76
Julián Alvarez,2026-04-11,Sevilla,Atlético Madrid,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Julián Alvarez,2026-04-14,Atlético Madrid,FC Barcelona,6.7,90,9630.0,17.0,107.0,0,0,0.05,0.1,13,21,2,0,0,0,2,37,0,1.77
Julián Alvarez,2026-04-18,Atlético Madrid,Real Sociedad,7.3,120,12990.0,23.0,108.25,1,0,0.0,0.0,41,46,1,0,0,0,3,84,0,1.77
Julián Alvarez,2026-04-25,Atlético Madrid,Athletic Club,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
