Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Nicolás González,2026-02-15,Rayo Vallecano,Atlético Madrid,6.0,90,,,0.0,0,0,0.28,0.05,32,43,1,0,1,0,2,73
Nicolás González,2026-03-03,FC Barcelona,Atlético Madrid,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Nicolás González,2026-03-07,Atlético Madrid,Real Sociedad,9.2,36,,,0.0,2,0,0.64,0.08,13,15,0,0,0,0,3,29
Nicolás González,2026-03-10,Atlético Madrid,Tottenham Hotspur,6.5,17,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,1,7
Nicolás González,2026-03-14,Atlético Madrid,Getafe,6.8,90,,,0.0,0,0,0.03,0.03,35,40,0,0,1,0,8,57
Nicolás González,2026-03-18,Tottenham Hotspur,Atlético Madrid,6.5,12,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,6
Nicolás González,2026-03-22,Real Madrid,Atlético Madrid,6.6,33,,,0.0,0,0,0.0,0.01,9,11,1,0,0,0,1,13
Nicolás González,2026-03-28,Argentina,Mauritania,6.7,45,,,0.0,0,0,0.0,0.0,19,23,1,0,0,0,2,31
Nicolás González,2026-04-01,Argentina,Zambia,7.0,36,,,0.0,0,0,0.0,0.0,18,21,1,0,1,0,1,27
Nicolás González,2026-04-04,Atlético Madrid,FC Barcelona,5.5,52,,,0.0,0,0,0.0,0.01,13,16,1,0,0,0,1,25
Nicolás González,2026-04-08,FC Barcelona,Atlético Madrid,6.4,10,,,0.0,0,0,0.0,0.01,3,4,0,0,0,0,1,7
Nicolás González,2026-04-14,Atlético Madrid,FC Barcelona,6.5,24,,,0.0,0,0,0.09,0.01,5,6,1,0,1,0,1,12
Nicolás González,2026-04-18,Atlético Madrid,Real Sociedad,7.7,58,,,0.0,0,0,0.0,0.0,17,25,1,0,0,0,5,40
Nicolás González,2026-04-22,Elche,Atlético Madrid,9.4,90,,,0.0,2,0,0.87,0.07,16,22,0,0,0,0,3,48
Nicolás González,2026-04-25,Atlético Madrid,Athletic Club,6.5,27,,,0.0,0,0,0.0,0.0,6,6,0,0,1,0,1,13
