Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Ander Guevara,2026-01-14,Deportivo Alavés,Rayo Vallecano,7.0,90,9756.0,17.0,108.4,0,0,0.0,0.0,38,44,0,0,0,0,6,55,0,1.74
Ander Guevara,2026-01-18,Atlético Madrid,Deportivo Alavés,6.4,35,3839.0,7.0,109.69,0,0,0.02,0.0,22,28,0,0,0,0,2,33,0,1.82
Ander Guevara,2026-01-25,Deportivo Alavés,Real Betis,6.7,14,1512.0,3.0,108.0,0,0,0.0,0.01,3,5,0,0,0,0,1,7,0,1.98
Ander Guevara,2026-01-30,Espanyol,Deportivo Alavés,6.9,29,3192.0,6.0,110.07,0,0,0.02,0.02,17,20,0,0,0,0,2,29,0,1.88
Ander Guevara,2026-02-04,Deportivo Alavés,Real Sociedad,6.4,90,9760.0,20.0,108.44,0,0,0.0,0.0,28,38,0,0,2,0,5,59,0,2.05
Ander Guevara,2026-02-08,Deportivo Alavés,Getafe,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Ander Guevara,2026-02-14,Sevilla,Deportivo Alavés,6.6,45,4948.0,11.0,109.96,0,0,0.0,0.03,41,46,0,0,2,0,1,50,0,2.22
Ander Guevara,2026-02-23,Deportivo Alavés,Girona FC,6.6,12,1306.0,2.0,108.83,0,0,0.0,0.0,8,8,0,0,0,0,0,11,0,1.53
Ander Guevara,2026-02-27,Levante UD,Deportivo Alavés,6.6,18,2007.0,3.0,111.5,0,0,0.0,0.0,9,10,0,0,0,0,4,16,0,1.49
Ander Guevara,2026-03-08,Valencia,Deportivo Alavés,6.6,28,3041.0,5.0,108.61,0,0,0.0,0.01,11,13,0,0,0,0,1,21,0,1.64
Ander Guevara,2026-03-22,Celta Vigo,Deportivo Alavés,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Ander Guevara,2026-04-05,Deportivo Alavés,Osasuna,6.6,17,1835.0,3.0,107.94,0,0,0.0,0.02,9,12,0,0,0,0,0,12,0,1.63
Ander Guevara,2026-04-11,Real Sociedad,Deportivo Alavés,6.6,24,2679.0,5.0,111.62,0,0,0.0,0.07,25,28,1,0,0,0,2,32,0,1.87
Ander Guevara,2026-04-21,Real Madrid,Deportivo Alavés,6.8,15,1663.0,3.0,110.87,0,0,0.04,0.02,19,19,2,0,0,0,0,21,0,1.8
Ander Guevara,2026-04-25,Deportivo Alavés,Mallorca,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
