Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Enzo Boyomo,2025-12-31,Mozambique,Cameroon,6.5,90,9685.0,19.0,107.61,0,0,0.0,0.0,25,33,0,0,1,0,2,50,0,1.96
Enzo Boyomo,2026-01-04,South Africa,Cameroon,,1,113.0,0.0,113.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0.0
Enzo Boyomo,2026-01-09,Cameroon,Morocco,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Enzo Boyomo,2026-01-13,Real Sociedad,Osasuna,6.7,120,12856.0,26.0,107.13,0,0,0.0,0.0,29,32,0,0,2,0,2,55,0,2.02
Enzo Boyomo,2026-01-17,Osasuna,Real Oviedo,6.9,17,1852.0,5.0,108.94,0,0,0.0,0.12,8,9,1,0,1,0,1,13,0,2.7
Enzo Boyomo,2026-01-24,Rayo Vallecano,Osasuna,6.7,90,9588.0,19.0,106.53,0,0,0.19,0.01,10,15,2,0,1,0,1,30,0,1.98
Enzo Boyomo,2026-01-31,Osasuna,Villarreal,6.7,90,9827.0,20.0,109.19,0,0,0.0,0.0,40,46,0,0,2,0,11,57,0,2.04
Enzo Boyomo,2026-02-06,Celta Vigo,Osasuna,6.8,31,3368.0,7.0,108.65,0,0,0.0,0.0,22,24,0,0,1,0,0,27,0,2.08
Enzo Boyomo,2026-03-01,Valencia,Osasuna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Enzo Boyomo,2026-03-07,Osasuna,Mallorca,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Enzo Boyomo,2026-03-15,Real Sociedad,Osasuna,6.1,90,9827.0,17.0,109.19,0,0,0.06,0.06,56,61,1,0,0,0,6,72,0,1.73
Enzo Boyomo,2026-03-21,Osasuna,Girona FC,7.9,90,9924.0,17.0,110.27,0,0,0.1,0.01,66,73,0,0,0,0,9,86,0,1.71
Enzo Boyomo,2026-04-05,Deportivo Alavés,Osasuna,6.4,90,9765.0,17.0,108.5,0,0,0.0,0.01,53,57,0,0,0,0,2,69,0,1.74
Enzo Boyomo,2026-04-21,Athletic Club,Osasuna,6.3,90,9949.0,17.0,110.54,0,0,0.11,0.01,88,97,0,0,0,0,5,104,0,1.71
Enzo Boyomo,2026-04-26,Osasuna,Sevilla,6.6,90,9874.0,19.0,109.71,0,0,0.0,0.06,73,75,0,0,1,0,5,86,0,1.92
