Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Fran Pérez,2026-01-06,Granada,Rayo Vallecano,6.4,64,,,0.0,0,0,0.0,0.0,14,17,1,0,0,0,1,35
Fran Pérez,2026-01-11,Rayo Vallecano,Mallorca,6.5,11,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,0,7
Fran Pérez,2026-01-14,Deportivo Alavés,Rayo Vallecano,6.8,83,,,0.0,0,0,0.0,0.0,12,16,0,0,0,0,4,27
Fran Pérez,2026-01-18,Celta Vigo,Rayo Vallecano,6.8,12,,,0.0,0,0,0.0,0.08,6,6,1,0,0,0,2,17
Fran Pérez,2026-01-24,Rayo Vallecano,Osasuna,6.3,9,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1
Fran Pérez,2026-02-01,Real Madrid,Rayo Vallecano,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Fran Pérez,2026-02-15,Rayo Vallecano,Atlético Madrid,7.7,64,,,0.0,1,0,0.39,0.0,9,11,0,0,0,0,4,27
Fran Pérez,2026-02-21,Real Betis,Rayo Vallecano,6.3,61,,,0.0,0,0,0.0,0.01,10,11,0,0,0,0,3,18
Fran Pérez,2026-02-28,Rayo Vallecano,Athletic Club,6.6,29,,,0.0,0,0,0.0,0.01,5,6,1,0,0,0,3,12
Fran Pérez,2026-03-04,Rayo Vallecano,Real Oviedo,6.9,25,,,0.0,0,0,0.08,0.01,10,11,0,0,0,0,4,19
Fran Pérez,2026-03-08,Sevilla,Rayo Vallecano,6.6,86,,,0.0,0,0,0.05,0.02,11,14,1,0,0,0,3,33
Fran Pérez,2026-03-16,Rayo Vallecano,Levante UD,6.4,45,,,0.0,0,0,0.04,0.0,9,11,0,0,0,0,4,20
Fran Pérez,2026-03-22,FC Barcelona,Rayo Vallecano,5.8,82,,,0.0,0,0,0.0,0.01,8,11,0,0,0,0,4,21
Fran Pérez,2026-04-23,Rayo Vallecano,Espanyol,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Fran Pérez,2026-04-26,Rayo Vallecano,Real Sociedad,6.7,9,,,0.0,0,0,0.0,0.01,5,5,0,0,0,0,1,13
