Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Pol Fortuny,2026-01-20,Real Madrid,AS Monaco,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Pol Fortuny,2026-01-30,Real Madrid Castilla U21,Osasuna B,6.5,9,949.0,2.0,105.44,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,2.11
Pol Fortuny,2026-02-08,Pontevedra CF,Real Madrid Castilla U21,6.4,39,4187.0,8.0,107.36,0,0,0.0,0.0,6,8,0,0,0,0,2,16,0,1.91
Pol Fortuny,2026-02-13,Real Madrid Castilla U21,Athletic Club B U21,7.9,69,7459.0,13.0,108.1,1,0,0.8,0.03,18,21,1,0,0,0,4,39,0,1.74
Pol Fortuny,2026-02-21,Real Avilés,Real Madrid Castilla U21,6.4,90,9668.0,19.0,107.42,0,0,0.53,0.0,16,20,0,0,1,0,6,34,0,1.97
Pol Fortuny,2026-03-01,Real Madrid Castilla U21,SD Ponferradina,6.9,90,9739.0,22.0,108.21,0,0,0.23,0.22,20,24,1,0,3,0,7,48,0,2.26
Pol Fortuny,2026-03-07,CD Arenteiro,Real Madrid Castilla U21,6.6,69,7446.0,13.0,107.91,0,0,0.02,0.0,20,24,0,0,0,0,3,39,0,1.75
Pol Fortuny,2026-03-14,CD Lugo,Real Madrid Castilla U21,8.8,85,9269.0,19.0,109.05,1,0,0.25,0.39,31,39,2,0,2,0,7,61,0,2.05
Pol Fortuny,2026-03-21,Real Madrid Castilla U21,Zamora CF,6.2,90,9752.0,17.0,108.36,0,0,0.0,0.0,27,28,1,0,0,0,8,48,0,1.74
Pol Fortuny,2026-03-27,Barakaldo CF,Real Madrid Castilla U21,6.8,90,9727.0,17.0,108.08,0,0,0.26,0.0,24,29,0,0,0,0,4,54,0,1.75
Pol Fortuny,2026-04-03,Real Madrid Castilla U21,Celta Vigo B,6.1,90,9702.0,17.0,107.8,0,0,0.35,0.0,21,30,0,0,0,0,4,48,0,1.75
Pol Fortuny,2026-04-11,Racing de Ferrol,Real Madrid Castilla U21,8.5,90,9710.0,17.0,107.89,2,0,0.68,0.0,36,42,0,0,0,0,0,62,0,1.75
Pol Fortuny,2026-04-14,Real Madrid Castilla U21,Ourense CF,6.9,75,8156.0,14.0,108.75,0,0,0.0,0.19,36,43,2,0,0,0,5,52,0,1.72
Pol Fortuny,2026-04-25,CF Talavera,Real Madrid Castilla U21,9.1,90,9857.0,20.0,109.52,2,0,0.69,0.0,40,47,0,0,2,0,8,73,0,2.03
