Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
David Carmo,2025-12-29,Angola,Egypt,7.0,90,9760.0,19.0,108.44,0,0,0.0,0.0,30,37,0,0,1,0,7,53,0,1.95
David Carmo,2026-01-04,Deportivo Alavés,Real Oviedo,6.5,36,3881.0,8.0,107.81,0,0,0.0,0.0,4,8,0,0,1,0,1,21,0,2.06
David Carmo,2026-01-10,Real Oviedo,Real Betis,6.8,90,9773.0,17.0,108.59,0,0,0.08,0.01,45,49,0,0,0,0,4,65,0,1.74
David Carmo,2026-01-25,FC Barcelona,Real Oviedo,5.8,90,9693.0,19.0,107.7,0,0,0.01,0.0,28,32,0,0,1,0,5,43,0,1.96
David Carmo,2026-01-31,Real Oviedo,Girona FC,6.9,90,9639.0,19.0,107.1,0,0,0.0,0.18,21,28,1,0,1,0,2,39,0,1.97
David Carmo,2026-02-15,Real Oviedo,Athletic Club,6.7,90,9882.0,20.0,109.8,0,0,0.0,0.04,58,75,2,0,2,0,4,91,0,2.02
David Carmo,2026-02-21,Real Sociedad,Real Oviedo,6.1,90,9672.0,19.0,107.47,0,0,0.0,0.07,25,34,1,0,1,0,3,44,0,1.96
David Carmo,2026-02-28,Real Oviedo,Atlético Madrid,6.9,90,9698.0,17.0,107.76,0,0,0.0,0.01,31,42,0,0,0,0,3,50,0,1.75
David Carmo,2026-03-04,Rayo Vallecano,Real Oviedo,7.2,90,9764.0,19.0,108.49,0,0,0.02,0.01,37,47,0,0,1,0,5,60,0,1.95
David Carmo,2026-03-09,Espanyol,Real Oviedo,6.6,90,9781.0,22.0,108.68,0,0,0.0,0.0,36,49,0,0,3,0,4,67,0,2.25
David Carmo,2026-03-14,Real Oviedo,Valencia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
David Carmo,2026-03-21,Levante UD,Real Oviedo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
David Carmo,2026-04-12,Celta Vigo,Real Oviedo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
David Carmo,2026-04-23,Real Oviedo,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
David Carmo,2026-04-26,Real Oviedo,Elche,5.8,65,7035.0,12.0,108.23,0,0,0.0,0.0,28,36,0,0,0,0,2,44,0,1.71
