Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Orri Steinn Óskarsson,2026-02-07,Real Sociedad,Elche,7.4,8,878.0,2.0,109.75,1,0,0.97,0.0,1,3,0,0,0,0,1,6,0,2.28
Orri Steinn Óskarsson,2026-02-11,Athletic Club,Real Sociedad,6.2,16,1743.0,3.0,108.94,0,0,0.0,0.0,5,7,0,0,0,0,0,15,0,1.72
Orri Steinn Óskarsson,2026-02-14,Real Madrid,Real Sociedad,6.2,30,3175.0,6.0,105.83,0,0,0.0,0.0,3,5,0,0,0,0,0,6,0,1.89
Orri Steinn Óskarsson,2026-02-21,Real Sociedad,Real Oviedo,8.7,37,3952.0,7.0,106.81,2,0,0.7,0.02,6,7,1,0,0,0,1,13,0,1.77
Orri Steinn Óskarsson,2026-03-04,Real Sociedad,Athletic Club,6.5,7,764.0,1.0,109.14,0,0,0.0,0.0,2,2,0,0,0,0,1,4,0,1.31
Orri Steinn Óskarsson,2026-03-07,Atlético Madrid,Real Sociedad,6.1,56,5922.0,11.0,105.75,0,0,0.0,0.0,5,7,0,0,0,0,0,10,0,1.86
Orri Steinn Óskarsson,2026-03-15,Real Sociedad,Osasuna,6.6,21,2272.0,4.0,108.19,0,0,0.05,0.0,4,6,0,0,0,0,2,10,0,1.76
Orri Steinn Óskarsson,2026-03-20,Villarreal,Real Sociedad,6.4,22,2339.0,4.0,106.32,0,0,0.0,0.0,2,3,0,0,0,0,1,4,0,1.71
Orri Steinn Óskarsson,2026-03-28,Canada,Iceland,8.6,68,7278.0,13.0,107.03,2,0,0.0,0.0,5,16,0,0,0,0,3,24,0,1.79
Orri Steinn Óskarsson,2026-04-04,Real Sociedad,Levante UD,6.3,10,1050.0,2.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.9
Orri Steinn Óskarsson,2026-04-11,Real Sociedad,Deportivo Alavés,7.2,72,7665.0,14.0,106.46,1,0,0.72,0.02,11,14,0,0,0,0,1,22,0,1.83
Orri Steinn Óskarsson,2026-04-18,Atlético Madrid,Real Sociedad,5.6,42,4494.0,8.0,107.0,0,0,0.0,0.0,10,13,0,0,0,0,0,20,0,1.78
Orri Steinn Óskarsson,2026-04-22,Real Sociedad,Getafe,6.2,90,9542.0,17.0,106.02,0,0,0.29,0.01,5,11,0,0,0,0,0,22,0,1.78
Orri Steinn Óskarsson,2026-04-26,Rayo Vallecano,Real Sociedad,7.2,67,7098.0,13.0,105.94,1,0,0.19,0.01,7,9,1,0,0,0,0,15,0,1.83
