Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Pablo Marín,2026-02-07,Real Sociedad,Elche,6.0,90,9622.0,22.0,106.91,0,0,0.0,0.0,9,11,0,0,3,0,2,35,0,2.29
Pablo Marín,2026-02-11,Athletic Club,Real Sociedad,6.4,85,9126.0,18.0,107.36,0,0,0.0,0.0,18,23,0,0,1,0,4,36,0,1.97
Pablo Marín,2026-02-14,Real Madrid,Real Sociedad,6.1,73,7803.0,14.0,106.89,0,0,0.07,0.03,14,15,0,0,0,0,2,27,0,1.79
Pablo Marín,2026-02-21,Real Sociedad,Real Oviedo,6.3,53,5636.0,10.0,106.34,0,0,0.0,0.0,9,11,0,0,0,0,0,17,0,1.77
Pablo Marín,2026-02-28,Mallorca,Real Sociedad,6.5,10,1058.0,2.0,105.8,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,1.89
Pablo Marín,2026-03-04,Real Sociedad,Athletic Club,6.5,31,3280.0,6.0,105.81,0,0,0.0,0.0,5,5,0,0,0,0,0,6,0,1.83
Pablo Marín,2026-03-07,Atlético Madrid,Real Sociedad,6.1,55,5876.0,11.0,106.84,0,0,0.0,0.0,7,11,0,0,0,0,2,18,0,1.87
Pablo Marín,2026-03-15,Real Sociedad,Osasuna,6.4,27,2948.0,5.0,109.19,0,0,0.0,0.0,5,6,0,0,0,0,2,21,0,1.7
Pablo Marín,2026-03-20,Villarreal,Real Sociedad,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Pablo Marín,2026-04-04,Real Sociedad,Levante UD,7.6,27,2910.0,5.0,107.78,0,0,0.0,0.48,3,3,1,0,0,0,3,9,0,1.72
Pablo Marín,2026-04-11,Real Sociedad,Deportivo Alavés,6.4,18,1949.0,3.0,108.28,0,0,0.0,0.06,3,5,1,0,0,0,1,11,0,1.54
Pablo Marín,2026-04-18,Atlético Madrid,Real Sociedad,6.6,52,5594.0,10.0,107.58,0,0,0.0,0.0,7,10,0,0,0,0,3,23,0,1.79
Pablo Marín,2026-04-22,Real Sociedad,Getafe,6.4,56,5985.0,11.0,106.88,0,0,0.0,0.05,11,14,1,0,0,0,2,19,0,1.84
Pablo Marín,2026-04-26,Rayo Vallecano,Real Sociedad,7.0,34,3650.0,7.0,107.35,0,0,0.0,0.05,4,6,1,0,0,0,2,13,0,1.92
