Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Kike Salas,2026-01-04,Sevilla,Levante UD,7.4,90,9916.0,26.0,110.18,0,0,0.05,0.01,65,74,0,0,6,0,6,93,0,2.62
Kike Salas,2026-01-12,Sevilla,Celta Vigo,7.1,82,8992.0,19.0,109.66,0,0,0.0,0.02,54,64,0,0,2,0,4,79,0,2.11
Kike Salas,2026-01-19,Elche,Sevilla,7.5,90,9840.0,23.0,109.33,0,0,0.03,0.01,42,56,0,0,4,0,4,81,0,2.34
Kike Salas,2026-01-24,Sevilla,Athletic Club,7.1,90,9786.0,19.0,108.73,0,0,0.43,0.03,37,50,1,0,1,0,3,71,0,1.94
Kike Salas,2026-02-02,Mallorca,Sevilla,6.0,90,9828.0,19.0,109.2,0,0,0.24,0.01,60,71,0,0,1,0,0,90,0,1.93
Kike Salas,2026-02-08,Sevilla,Girona FC,8.2,90,9832.0,17.0,109.24,1,0,0.04,0.02,52,64,0,0,0,0,4,79,0,1.73
Kike Salas,2026-02-14,Sevilla,Deportivo Alavés,6.5,90,9664.0,20.0,107.38,0,0,0.0,0.01,16,22,1,0,2,0,3,42,0,2.07
Kike Salas,2026-02-22,Getafe,Sevilla,7.1,90,9953.0,20.0,110.59,0,0,0.0,0.02,65,79,1,0,2,0,7,99,0,2.01
Kike Salas,2026-03-01,Real Betis,Sevilla,7.5,90,9962.0,23.0,110.69,0,0,0.0,0.03,59,73,1,0,4,0,7,101,0,2.31
Kike Salas,2026-03-08,Sevilla,Rayo Vallecano,6.9,90,9802.0,19.0,108.91,0,0,0.02,0.01,29,41,0,0,1,0,7,63,0,1.94
Kike Salas,2026-03-21,Sevilla,Valencia,6.5,90,9890.0,17.0,109.89,0,0,0.0,0.01,54,67,0,0,0,0,7,84,0,1.72
Kike Salas,2026-04-05,Real Oviedo,Sevilla,6.7,90,9668.0,19.0,107.42,0,0,0.0,0.02,14,26,0,0,1,0,5,37,0,1.97
Kike Salas,2026-04-11,Sevilla,Atlético Madrid,7.0,90,9714.0,20.0,107.93,0,0,0.0,0.0,17,29,0,0,2,0,4,51,0,2.06
Kike Salas,2026-04-23,Levante UD,Sevilla,6.5,90,9807.0,17.0,108.97,0,0,0.02,0.04,52,61,0,0,0,0,3,76,0,1.73
Kike Salas,2026-04-26,Osasuna,Sevilla,6.1,90,9651.0,17.0,107.23,0,0,0.0,0.01,15,23,0,0,0,0,3,39,0,1.76
