Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Josué Casimir,2026-01-04,Stade Brestois,Auxerre,7.0,76,8198.0,15.0,107.87,0,0,0.0,0.05,23,27,0,0,0,0,3,43,0,1.83
Josué Casimir,2026-01-17,RC Lens,Auxerre,6.6,14,1524.0,3.0,108.86,0,0,0.0,0.02,3,4,0,0,0,0,1,10,0,1.97
Josué Casimir,2026-01-23,Auxerre,Paris Saint-Germain,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Josué Casimir,2026-02-01,Toulouse,Auxerre,6.5,17,1848.0,3.0,108.71,0,0,0.0,0.03,4,7,1,0,0,0,1,12,0,1.62
Josué Casimir,2026-02-08,Auxerre,Paris FC,6.9,61,6577.0,15.0,107.82,0,0,0.05,0.01,14,18,0,0,2,0,3,32,0,2.28
Josué Casimir,2026-02-15,Metz,Auxerre,6.6,18,1957.0,3.0,108.72,0,0,0.0,0.01,7,9,1,0,0,0,1,13,0,1.53
Josué Casimir,2026-02-22,Auxerre,Stade Rennais,0.0,90,9462.0,17.0,105.13,0,0,0.2,0.01,9,11,0,0,0,0,1,0,0,1.8
Josué Casimir,2026-03-01,Lorient,Auxerre,0.0,90,9488.0,17.0,105.42,0,0,0.27,0.07,21,25,0,0,0,0,3,0,0,1.79
Josué Casimir,2026-03-07,Auxerre,RC Strasbourg,0.0,90,9512.0,19.0,105.69,0,0,0.1,0.0,5,9,0,0,1,0,5,0,0,2.0
Josué Casimir,2026-03-13,Olympique de Marseille,Auxerre,6.2,75,7997.0,14.0,106.63,0,0,0.0,0.0,10,14,0,0,0,0,1,26,0,1.75
Josué Casimir,2026-03-21,Auxerre,Stade Brestois,0.0,80,8412.0,15.0,105.15,0,0,0.0,0.3,6,8,0,0,0,0,1,0,0,1.78
Josué Casimir,2026-03-29,Haiti,Tunisia,6.6,86,9286.0,18.0,107.98,0,0,0.0,0.0,24,28,1,0,1,0,4,49,0,1.94
Josué Casimir,2026-04-05,Le Havre,Auxerre,0.0,0,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,1,0,0,0.0
Josué Casimir,2026-04-19,AS Monaco,Auxerre,6.3,90,9500.0,17.0,105.56,0,0,0.0,0.0,2,3,0,0,0,0,1,9,0,1.79
Josué Casimir,2026-04-25,Olympique Lyonnais,Auxerre,6.8,1,168.0,0.0,168.0,0,0,0.0,0.01,4,5,0,0,0,0,0,15,0,0.0
